genes,logFC,logCPM,PValue,FDR,Annotation
LOC105182251,2.651342647,4.365865943,9.80E-12,2.12E-09,uncharacterized protein LOC105182251
LOC105189286,2.798500679,6.249402619,9.90E-12,2.12E-09,transcription factor Sp5
LOC105190672,3.94117087,8.213904395,1.21E-11,2.56E-09,probable peroxisomal acyl-coenzyme A oxidase 1
LOC105190992,3.048047016,5.987713324,1.41E-11,2.93E-09,ral guanine nucleotide dissociation stimulator isoform X3
LOC105189584,3.993523963,7.238747408,1.44E-11,2.94E-09,uncharacterized protein LOC105189584 isoform X1
LOC105192328,2.848701244,5.06221033,1.51E-11,3.04E-09,breast cancer anti-estrogen resistance protein 3 isoform X2
LOC105188434,5.871247389,9.016167984,1.71E-11,3.38E-09,pheromone-binding protein Gp-9-like
LOC109503858,2.660988755,4.854427239,1.80E-11,3.50E-09,AF4/FMR2 family member 4-like
LOC105181726,-4.414580411,18.03519368,1.99E-11,3.81E-09,vitellogenin-like
LOC105190201,2.848206964,4.232537005,2.73E-11,5.10E-09,guanine nucleotide-binding protein G(i) subunit alpha isoform X1
LOC105184958,4.209293727,5.289146911,2.74E-11,5.10E-09,uncharacterized protein LOC105184958 isoform X4
LOC105181030,2.687816503,4.82395228,3.18E-11,5.77E-09,MAP kinase-activated protein kinase 2 isoform X2
LOC105187921,2.567881402,6.953228326,3.19E-11,5.77E-09,protein Tob1
LOC105182629,3.584664264,5.897181453,3.84E-11,6.84E-09,balbiani ring protein 3-like
LOC105192666,-3.455547985,3.60171997,3.96E-11,6.97E-09,uncharacterized protein LOC105192666 isoform X2
LOC105181363,3.171843066,13.86045872,4.13E-11,7.10E-09,"beta-1,3-glucan-binding protein 2"
LOC105183359,2.752311373,7.525788874,4.15E-11,7.10E-09,uncharacterized protein LOC105183359
LOC112588553,3.335292216,2.931665612,4.51E-11,7.61E-09,uncharacterized protein LOC112588553
LOC105185081,2.409310829,4.368691328,4.57E-11,7.61E-09,microtubule-associated protein futsch
LOC105183945,2.39099154,5.126305727,5.02E-11,8.25E-09,PI-PLC X domain-containing protein 1
LOC105180979,3.301204555,7.284430211,5.29E-11,8.58E-09,elongation of very long chain fatty acids protein AAEL008004 isoform X2
LOC105191332,3.230815583,5.245118405,6.24E-11,1.00E-08,elongation of very long chain fatty acids protein 6
LOC105190923,2.853247053,7.054194826,9.07E-11,1.44E-08,protein shisa-5 isoform X3
LOC105180769,3.224244465,4.737077978,9.51E-11,1.49E-08,probable G-protein coupled receptor Mth-like 5
LOC105186625,2.436587216,4.838619767,9.77E-11,1.51E-08,toll-like receptor Tollo
LOC105181891,3.850144317,6.654009127,1.04E-10,1.59E-08,neprilysin-4
LOC105181707,-3.134450761,5.672691049,1.09E-10,1.60E-08,uncharacterized protein LOC105181707
LOC105191971,3.388625783,4.036421701,1.09E-10,1.60E-08,flavin-containing monooxygenase FMO GS-OX3 isoform X1
LOC112590550,2.443192478,4.897775003,1.09E-10,1.60E-08,BMP-binding endothelial regulator protein-like
LOC105186470,4.031802643,6.835929145,1.10E-10,1.60E-08,aromatic-L-amino-acid decarboxylase
LOC105191299,3.549790109,8.331462123,1.14E-10,1.63E-08,uncharacterized protein LOC105191299 isoform X1
LOC105188843,2.950261856,6.901349656,1.15E-10,1.63E-08,excitatory amino acid transporter 1
LOC105180521,2.726557106,3.939369254,1.32E-10,1.85E-08,feline leukemia virus subgroup C receptor-related protein 2
LOC105180912,4.412666764,6.692958005,1.33E-10,1.85E-08,serine protease snake
LOC105185197,4.913728182,8.778285587,1.37E-10,1.89E-08,serine protease snake-like
LOC109504226,2.218640038,4.707430556,1.39E-10,1.89E-08,uncharacterized protein LOC109504226 isoform X1
LOC105192377,2.790876557,4.083722436,1.41E-10,1.89E-08,MAGUK p55 subfamily member 6 isoform X1
LOC105187571,5.81010721,4.12931083,1.72E-10,2.29E-08,cytochrome P450 9e2 isoform X2
LOC105182000,3.106773459,6.109376677,1.83E-10,2.41E-08,trichohyalin isoform X5
LOC112590418,-5.746821967,1.261085346,1.86E-10,2.41E-08,uncharacterized protein LOC112590418
LOC105184249,2.969967024,11.26660863,1.89E-10,2.41E-08,uncharacterized protein DDB_G0284671 isoform X3
LOC105185779,4.792999247,4.677610744,1.89E-10,2.41E-08,uncharacterized protein LOC105185779
LOC105181142,2.932071937,4.63919554,1.90E-10,2.41E-08,ataxin-7-like protein 1 isoform X2
LOC105190744,4.65850307,6.57654024,2.29E-10,2.87E-08,sodium/potassium-transporting ATPase subunit beta-2
LOC105191848,2.643030438,4.470515445,2.45E-10,3.04E-08,L-dopachrome tautomerase yellow-f isoform X1
LOC105181684,2.677329,9.835076903,3.11E-10,3.80E-08,lipid storage droplets surface-binding protein 1
LOC105186647,2.621170505,6.492803815,3.14E-10,3.80E-08,Na(+)/H(+) exchange regulatory cofactor NHE-RF1 isoform X1
LOC105188780,2.351877866,4.756898456,3.15E-10,3.80E-08,signal-induced proliferation-associated 1-like protein 2 isoform X1
LOC105181407,4.13844609,5.633087991,3.40E-10,4.06E-08,modular serine protease
LOC105181068,3.042094692,7.222499918,3.75E-10,4.43E-08,fatty acid hydroxylase domain-containing protein 2 isoform X2
LOC105191915,2.477640724,7.270870358,3.88E-10,4.55E-08,translocator protein
LOC105190608,2.904748995,3.572500606,3.95E-10,4.59E-08,uncharacterized protein LOC105190608
LOC105181287,3.399906267,11.0253412,4.51E-10,5.17E-08,peroxidase isoform X3
LOC105181411,4.794206126,3.775105178,4.54E-10,5.17E-08,modular serine protease-like
LOC105183286,-3.606471208,3.526114096,4.65E-10,5.25E-08,growth/differentiation factor 8
LOC105189854,2.292730579,4.884922215,4.77E-10,5.34E-08,uncharacterized protein LOC105189854
LOC105181128,4.388993389,3.995013532,5.08E-10,5.64E-08,G-protein coupled receptor moody isoform X1
LOC105187264,3.300591056,6.707631991,5.29E-10,5.82E-08,poly(U)-specific endoribonuclease homolog isoform X1
LOC105182588,5.302327037,7.99864606,5.51E-10,6.01E-08,uncharacterized protein LOC105182588 isoform X1
LOC105185774,3.054685111,5.972446115,5.66E-10,6.12E-08,uncharacterized protein LOC105185774
LOC105189942,2.694193544,4.11575546,5.97E-10,6.40E-08,uncharacterized protein LOC105189942 isoform X1
LOC105186640,4.600704948,6.893865475,6.07E-10,6.45E-08,lipase 3
LOC105185239,6.749759294,6.264137077,6.39E-10,6.74E-08,cytochrome b5
LOC105191251,2.403423111,8.078138973,6.70E-10,7.00E-08,sex-determining transformer protein 1-like
LOC105182701,5.417626923,11.42421926,7.31E-10,7.58E-08,endocuticle structural glycoprotein SgAbd-1-like
LOC105192391,2.472686224,6.644576231,7.79E-10,8.02E-08,long-chain-fatty-acid--CoA ligase 1 isoform X1
LOC105180907,-4.608541727,6.047452582,1.01E-09,1.03E-07,acyl-CoA Delta(11) desaturase isoform X2
LOC105191948,2.681524719,11.75876904,1.02E-09,1.03E-07,uncharacterized protein LOC105191948
LOC105183092,3.026440272,9.311276176,1.08E-09,1.09E-07,uncharacterized protein LOC105183092
LOC105184957,3.916874162,2.084693278,1.11E-09,1.11E-07,uncharacterized protein LOC105184957
LOC105180768,3.014936655,8.411290587,1.19E-09,1.17E-07,probable G-protein coupled receptor Mth-like 1
LOC105182155,2.329069315,6.164682638,1.19E-09,1.17E-07,mucin-19
LOC105191630,4.680262584,5.047694251,1.20E-09,1.17E-07,uncharacterized F-box/LRR-repeat protein C02F5.7 isoform X1
LOC105185181,2.961545626,6.758360213,1.31E-09,1.26E-07,battenin
LOC105185580,3.275128481,7.800118237,1.33E-09,1.28E-07,alpha-2-antiplasmin isoform X1
LOC105188684,3.370718913,5.492479302,1.37E-09,1.30E-07,bone morphogenetic protein 10-like
LOC105182444,2.399398705,7.083455327,1.53E-09,1.44E-07,uncharacterized protein LOC105182444
LOC105182166,2.668193939,11.55302401,1.60E-09,1.50E-07,low-density lipoprotein receptor-related protein 2 isoform X2
LOC105184463,2.313183915,6.154241206,1.68E-09,1.57E-07,division abnormally delayed protein isoform X1
LOC105185572,4.330104506,4.363779086,1.71E-09,1.58E-07,calpain-C isoform X2
LOC105188649,3.436792173,4.722356623,1.74E-09,1.60E-07,sphingomyelin phosphodiesterase isoform X1
LOC105188270,2.452319153,4.758108402,1.90E-09,1.73E-07,CD151 antigen
LOC105189532,2.884161344,5.434096918,2.13E-09,1.93E-07,chloride channel protein 2 isoform X3
LOC105183247,4.678625855,3.584435896,2.16E-09,1.93E-07,probable chitinase 10
LOC105190515,2.155773668,5.612767137,2.35E-09,2.09E-07,transcription factor AP-1
LOC105185940,3.968745792,4.786764969,2.44E-09,2.15E-07,uncharacterized protein LOC105185940
LOC105183585,2.935777133,6.9289883,2.45E-09,2.15E-07,mediator of RNA polymerase II transcription subunit 15
LOC105181797,2.829743736,4.513877197,2.83E-09,2.47E-07,carboxyl-terminal PDZ ligand of neuronal nitric oxide synthase protein isoform X1
LOC105190135,2.459940417,6.261195653,2.90E-09,2.51E-07,probable Ras GTPase-activating protein isoform X3
LOC105180948,-2.519299795,5.593358564,3.03E-09,2.61E-07,uncharacterized protein LOC105180948 isoform X3
LOC105188896,2.35667938,8.20883505,3.09E-09,2.61E-07,teneurin-m isoform X1
LOC105191177,3.622537484,6.559248006,3.09E-09,2.61E-07,elongation of very long chain fatty acids protein AAEL008004
LOC105187138,2.214153821,6.018776086,3.09E-09,2.61E-07,transcription factor cwo isoform X1
LOC105190643,2.401019888,3.829192138,3.26E-09,2.73E-07,uncharacterized protein DDB_G0271670 isoform X1
LOC105192018,2.803268112,3.815032533,3.31E-09,2.75E-07,LOW QUALITY PROTEIN: protein tiptop
LOC105186905,2.880728634,4.633247294,3.36E-09,2.78E-07,aprataxin
LOC105186006,7.70134701,1.226091702,3.61E-09,2.97E-07,UDP-glucuronosyltransferase 2B9 isoform X1
LOC109503602,2.475851139,5.414923749,3.75E-09,3.06E-07,uncharacterized protein LOC109503602
LOC105187218,-3.5936899,4.219155416,3.79E-09,3.07E-07,LOW QUALITY PROTEIN: probable cytochrome P450 28d1
LOC105188891,6.64725939,6.314906382,3.96E-09,3.19E-07,serine protease gd
LOC105183891,2.089414874,4.921838346,4.32E-09,3.46E-07,"folylpolyglutamate synthase, mitochondrial isoform X1"
LOC105181093,2.113064635,4.308209855,4.45E-09,3.54E-07,uncharacterized protein LOC105181093
LOC105187762,3.361114255,4.203547214,4.54E-09,3.59E-07,"keratin, type II cytoskeletal 1 isoform X1"
LOC105181404,3.369237906,4.323595784,4.62E-09,3.62E-07,modular serine protease isoform X1
LOC105190015,2.51753325,9.485596038,4.63E-09,3.62E-07,cytochrome P450 9e2-like
LOC105191722,2.355613429,3.674369594,5.15E-09,4.00E-07,ALK tyrosine kinase receptor
LOC105185271,2.2686133,7.684419526,5.42E-09,4.18E-07,"cAMP-specific 3\\',5\\'-cyclic phosphodiesterase isoform X8"
LOC105181155,3.411453048,4.977832896,5.45E-09,4.18E-07,uncharacterized protein LOC105181155
LOC105191168,4.676479823,10.62359766,5.50E-09,4.19E-07,uncharacterized protein LOC105191168
LOC105183357,2.38689087,6.925671183,5.53E-09,4.19E-07,uncharacterized protein LOC105183357 isoform X1
LOC105189013,4.52212719,4.141188664,5.98E-09,4.50E-07,acyl-CoA Delta(11) desaturase isoform X2
LOC105181961,5.292770586,1.838083927,6.36E-09,4.77E-07,ejaculatory bulb-specific protein 3
LOC105191680,2.478159385,3.837736422,6.55E-09,4.87E-07,uncharacterized protein LOC105191680
LOC105189203,2.436636245,7.44363237,7.04E-09,5.21E-07,uncharacterized protein LOC105189203
LOC105185773,3.309424917,10.24844937,7.23E-09,5.32E-07,peptidoglycan-recognition protein SC2 isoform X1
LOC105181686,2.668213517,8.984190669,7.34E-09,5.37E-07,lipid storage droplets surface-binding protein 2 isoform X1
LOC105182610,3.366993284,4.271282046,8.08E-09,5.88E-07,trehalase isoform X1
LOC105184187,2.897582336,8.652794751,8.41E-09,6.08E-07,"2-oxoglutarate dehydrogenase, mitochondrial isoform X6"
LOC105182242,2.341051006,4.473231439,9.78E-09,7.03E-07,maltase A2 isoform X2
LOC112590175,-5.271302167,5.619429552,9.93E-09,7.09E-07,fatty acid synthase-like
LOC105186541,4.102794318,3.661477441,1.00E-08,7.09E-07,serine protease 41 isoform X1
LOC105190918,3.539302299,6.300996458,1.00E-08,7.09E-07,zinc transporter ZIP1 isoform X2
LOC105181350,2.203156113,5.341887687,1.02E-08,7.16E-07,sialin isoform X1
LOC105181237,3.118221334,3.394803515,1.06E-08,7.39E-07,LHFPL tetraspan subfamily member 3 protein
LOC105190617,4.053796831,5.038478611,1.10E-08,7.62E-07,leucine-rich repeat protein soc-2 isoform X1
LOC105189151,2.259880537,8.636480413,1.19E-08,8.21E-07,hepatocyte nuclear factor 4-gamma isoform X3
LOC112590546,4.044761371,5.300517326,1.22E-08,8.37E-07,elongation of very long chain fatty acids protein AAEL008004-like isoform X1
LOC105191100,2.104693408,4.203988622,1.26E-08,8.60E-07,hybrid signal transduction histidine kinase B-like
LOC105185670,4.223025561,11.24922724,1.26E-08,8.60E-07,apolipoprotein D
LOC105186864,3.621542422,7.398540774,1.28E-08,8.69E-07,pheromone-binding protein Gp-9 isoform X1
LOC105180981,2.223250132,5.535592841,1.30E-08,8.72E-07,protein FAM69C isoform X2
LOC105188079,3.009461093,7.807195023,1.31E-08,8.72E-07,superoxide dismutase
LOC105183865,-3.836274833,5.241728363,1.31E-08,8.72E-07,fatty acid synthase-like isoform X1
LOC105184194,3.343480044,2.34350539,1.34E-08,8.85E-07,putative uncharacterized protein DDB_G0274435
LOC105189946,2.262227958,5.843869895,1.38E-08,9.13E-07,hexokinase type 2 isoform X2
LOC105192182,2.305386273,5.28213393,1.45E-08,9.48E-07,zinc transporter 1
LOC105182483,2.790930419,11.98009855,1.52E-08,9.87E-07,chitinase-like protein Idgf4
LOC105190200,2.091454014,5.241539846,1.52E-08,9.87E-07,synaptojanin-1 isoform X1
LOC105187333,2.484770689,5.463609688,1.58E-08,1.02E-06,"beta-1,4-N-acetylgalactosaminyltransferase bre-4"
LOC105183562,2.455606478,4.339958937,1.64E-08,1.05E-06,"GTP:AMP phosphotransferase AK3, mitochondrial"
LOC105184167,2.671599663,6.133522776,1.70E-08,1.08E-06,BAG domain-containing protein Samui isoform X1
LOC105190889,2.243611187,13.12265288,1.72E-08,1.09E-06,uncharacterized protein LOC105190889
LOC105191673,2.978827501,6.206396839,1.72E-08,1.09E-06,multiple epidermal growth factor-like domains protein 10
LOC105189561,3.978382998,7.999430284,1.73E-08,1.09E-06,protein Malvolio isoform X1
LOC112589664,2.357779823,6.767708168,1.77E-08,1.11E-06,Krueppel homolog 1-like
LOC105181268,3.941749216,5.991105397,1.91E-08,1.19E-06,cartilage oligomeric matrix protein isoform X1
LOC105191896,2.146036419,6.500276844,1.97E-08,1.22E-06,forkhead box protein P2 isoform X6
LOC105182484,2.730006601,2.981019062,2.09E-08,1.29E-06,uncharacterized protein LOC105182484 isoform X1
LOC105184910,2.832644194,6.107582976,2.20E-08,1.35E-06,uncharacterized protein LOC105184910
LOC105184456,2.226561919,4.177275142,2.28E-08,1.39E-06,serine/threonine-protein kinase 17B
LOC109504628,-3.843181956,7.962620178,2.28E-08,1.39E-06,cytochrome P450 6B5-like
LOC105188176,2.467226683,3.439463616,2.29E-08,1.39E-06,putative phosphatidate phosphatase
LOC109503661,3.221238097,11.50756225,2.42E-08,1.45E-06,"glutenin, high molecular weight subunit PW212-like"
LOC105189172,2.491962783,5.062742596,2.42E-08,1.45E-06,integrin beta-PS
LOC105189264,3.526783388,6.239754079,2.57E-08,1.53E-06,glucose transporter type 1 isoform X19
LOC105185208,3.344827729,6.449283891,2.66E-08,1.58E-06,palmitoyltransferase ZDHHC16B isoform X1
LOC105181269,2.701152094,6.96348653,2.67E-08,1.58E-06,gonadotropin-releasing hormone receptor isoform X1
LOC105192351,2.079609149,6.50306821,2.76E-08,1.63E-06,uncharacterized protein LOC105192351 isoform X2
LOC105188703,2.681944057,2.914771422,2.83E-08,1.66E-06,uncharacterized protein LOC105188703 isoform X1
LOC105184433,2.456042984,4.288489828,2.87E-08,1.67E-06,adenylate kinase isoenzyme 1 isoform X1
LOC105188584,2.221357896,6.378762394,2.90E-08,1.68E-06,hemicentin-1 isoform X1
LOC105191162,2.561380832,3.3059813,3.21E-08,1.85E-06,uncharacterized protein LOC105191162
LOC105183678,2.497607638,6.73172766,3.29E-08,1.89E-06,transcription factor kayak isoform X1
LOC105191243,2.549863715,8.994262325,3.35E-08,1.91E-06,uncharacterized protein LOC105191243 isoform X2
LOC105185846,2.830223692,6.957241748,3.36E-08,1.91E-06,"short/branched chain specific acyl-CoA dehydrogenase, mitochondrial"
LOC105191236,2.070842142,5.615476761,3.73E-08,2.12E-06,solute carrier organic anion transporter family member 3A1
LOC105185429,4.287123481,6.863844343,3.75E-08,2.12E-06,uncharacterized protein LOC105185429
LOC105190057,2.896483001,6.95048351,3.86E-08,2.17E-06,zinc transporter 2 isoform X1
LOC109503899,2.651830696,3.013586762,3.91E-08,2.19E-06,predicted GPI-anchored protein 58
LOC105185655,3.233484715,1.996756304,4.03E-08,2.25E-06,uncharacterized protein LOC105185655 isoform X1
LOC105183909,2.213912314,5.916330681,4.16E-08,2.31E-06,monocarboxylate transporter 1 isoform X2
LOC105186444,4.760588218,6.024692601,4.18E-08,2.31E-06,uncharacterized protein LOC105186444
LOC105192651,2.233226742,7.704129248,4.19E-08,2.31E-06,transcription factor CP2-like protein 1 isoform X1
LOC105189065,2.530924746,8.012699681,4.31E-08,2.36E-06,multidrug resistance-associated protein 4
LOC105181133,2.055641072,4.665337653,4.34E-08,2.37E-06,sphingosine kinase 1 isoform X1
LOC105182747,2.116548848,5.758360591,4.38E-08,2.38E-06,fasciclin-2 isoform X1
LOC105189512,2.14619114,7.767895041,4.44E-08,2.40E-06,proton-coupled amino acid transporter-like protein pathetic
LOC105187375,2.226862659,3.985199825,4.66E-08,2.51E-06,uncharacterized protein LOC105187375 isoform X2
LOC105180820,3.230708576,7.642329822,4.74E-08,2.54E-06,uncharacterized protein LOC105180820
LOC105182906,-7.529797295,3.368119571,4.81E-08,2.57E-06,chymotrypsin-2 isoform X1
LOC105185634,4.683193235,5.006774503,4.87E-08,2.59E-06,serine protease persephone
LOC105183841,4.300592475,7.433357633,4.90E-08,2.59E-06,dorsal-ventral patterning protein Sog isoform X1
LOC105183292,2.647154695,7.828807534,4.92E-08,2.59E-06,uncharacterized protein LOC105183292 isoform X4
LOC105186475,3.356677349,6.348251474,4.94E-08,2.60E-06,collagen alpha-1(IV) chain
LOC105181100,2.420665442,5.509615187,5.25E-08,2.75E-06,glycosylated lysosomal membrane protein
LOC105188791,3.354107482,2.576603482,5.54E-08,2.88E-06,discoidin domain-containing receptor 2 isoform X1
LOC105184816,2.246669872,5.063760106,5.66E-08,2.93E-06,proton-coupled amino acid transporter 2 isoform X2
LOC105189610,2.314715577,4.693311308,5.67E-08,2.93E-06,uncharacterized protein LOC105189610 isoform X1
LOC105181387,2.566586895,4.412368083,5.69E-08,2.93E-06,cytochrome c-2
LOC105191357,2.073590477,7.76312075,5.77E-08,2.96E-06,27 kDa hemolymph protein isoform X2
LOC105190405,2.081271613,5.756458448,5.90E-08,3.01E-06,zinc finger protein 395
LOC105184123,2.130549653,5.442998791,5.95E-08,3.01E-06,calcium-binding mitochondrial carrier protein SCaMC-2 isoform X1
LOC105188939,2.581372577,4.196335345,5.95E-08,3.01E-06,major facilitator superfamily domain-containing protein 6
LOC105180515,2.085490519,6.469078655,6.02E-08,3.04E-06,extended synaptotagmin-2 isoform X3
LOC105185431,4.643315992,5.82080666,6.25E-08,3.14E-06,uncharacterized protein LOC105185431
LOC105192378,3.106104002,8.633450177,6.28E-08,3.14E-06,venom dipeptidyl peptidase 4 isoform X3
LOC105189890,3.883586254,5.379265348,6.39E-08,3.18E-06,uncharacterized protein LOC105189890 isoform X1
LOC105183376,2.307453243,3.921071495,6.43E-08,3.18E-06,protein sidekick isoform X1
LOC105190233,2.67145245,5.050181499,6.46E-08,3.18E-06,integrin alpha-PS3
LOC105187889,2.260767735,7.330355463,6.46E-08,3.18E-06,IQ motif and SEC7 domain-containing protein 1 isoform X2
LOC105186906,3.101524248,7.246160188,6.62E-08,3.24E-06,3-phosphoinositide-dependent protein kinase 1 isoform X5
LOC105188562,-3.353010162,2.313610147,6.63E-08,3.24E-06,protein crumbs homolog 2 isoform X2
LOC105187045,2.027421815,5.223041496,6.66E-08,3.24E-06,"b(0,+)-type amino acid transporter 1"
LOC105186285,1.922348233,5.120045625,7.02E-08,3.41E-06,oxidative stress-induced growth inhibitor 2 isoform X1
LOC105191060,4.59356814,9.781118741,7.42E-08,3.58E-06,facilitated trehalose transporter Tret1 isoform X2
LOC105190832,2.032725179,7.255600326,7.50E-08,3.60E-06,phosphatidylinositol 4-kinase beta
LOC105185751,2.496452723,6.254707064,7.50E-08,3.60E-06,solute carrier family 12 member 9
LOC105187458,4.431734056,4.616109307,7.94E-08,3.79E-06,circumsporozoite protein
LOC105181529,2.744712935,9.35396885,8.08E-08,3.84E-06,protein unzipped isoform X1
LOC105180728,2.505334917,4.045609692,8.15E-08,3.84E-06,uncharacterized protein LOC105180728
LOC105186956,2.063304074,7.451965147,8.17E-08,3.84E-06,homeodomain-interacting protein kinase 2 isoform X1
LOC112590320,-4.272345976,7.093794899,8.17E-08,3.84E-06,fatty acid synthase-like isoform X1
LOC105183867,1.872348834,4.411674614,8.38E-08,3.93E-06,ras-related protein Rab-40C
LOC105190225,-2.611443436,5.953487654,8.61E-08,4.02E-06,prolyl 3-hydroxylase 2 isoform X1
LOC105190894,1.939765416,4.539143858,8.73E-08,4.06E-06,cAMP-dependent protein kinase type I regulatory subunit isoform X1
LOC105181690,1.981897633,5.392609185,9.26E-08,4.29E-06,uncharacterized protein LOC105181690 isoform X3
LOC105191070,2.270505413,5.752209265,9.33E-08,4.31E-06,E3 ubiquitin-protein ligase CBL-B isoform X2
