genes,logFC,logCPM,PValue,FDR,Annotation
LOC112589664,2.491454746,6.880316786,1.01E-13,1.39E-11,Krueppel homolog 1-like
LOC105184267,2.425097734,7.228970409,1.11E-13,1.48E-11,pancreatic lipase-related protein 2
LOC105181684,3.076265631,10.18571384,1.12E-13,1.48E-11,lipid storage droplets surface-binding protein 1
LOC105185572,3.974656388,4.034116074,1.09E-13,1.48E-11,calpain-C isoform X2
LOC105186822,4.126327783,1.990232785,1.12E-13,1.48E-11,apolipoprotein D
LOC105182429,2.450157486,3.339109621,1.22E-13,1.59E-11,homeobox protein cut isoform X1
LOC105183622,3.301830703,4.089943407,1.23E-13,1.59E-11,tetratricopeptide repeat protein 36 isoform X2
LOC105188614,2.830780181,3.612059043,1.46E-13,1.87E-11,ATP-binding cassette sub-family G member 4
LOC105188876,3.015078575,8.514271155,1.80E-13,2.28E-11,cytochrome b561 domain-containing protein 2 isoform X1
LOC105185779,3.116437003,3.130045386,1.93E-13,2.41E-11,uncharacterized protein LOC105185779
LOC105188251,2.856356252,2.898369247,2.15E-13,2.66E-11,sodium channel protein Nach
LOC105187375,2.242548558,3.997532356,2.49E-13,3.06E-11,uncharacterized protein LOC105187375 isoform X2
LOC105188978,2.577975526,5.803422568,2.54E-13,3.09E-11,chondroadherin
LOC105186093,2.826739136,6.576444395,2.81E-13,3.39E-11,PDZ and LIM domain protein Zasp isoform X10
LOC105186866,2.336052267,10.15022667,2.91E-13,3.47E-11,uncharacterized protein LOC105186866
LOC105186648,2.751718859,9.544970167,2.95E-13,3.49E-11,twitchin isoform X1
LOC105191715,2.410709731,6.096160246,3.08E-13,3.53E-11,PDZ and LIM domain protein 3 isoform X6
LOC105191680,2.457052419,3.819478692,3.03E-13,3.53E-11,uncharacterized protein LOC105191680
LOC105182242,2.49387497,4.599109431,3.05E-13,3.53E-11,maltase A2 isoform X2
LOC105182366,2.52462131,4.830456359,3.10E-13,3.53E-11,WAP four-disulfide core domain protein 2 isoform X1
LOC105185161,-5.09562186,10.53238606,3.46E-13,3.91E-11,arylphorin subunit alpha
LOC105191705,2.380403319,6.622716895,3.55E-13,3.98E-11,sarcalumenin isoform X1
LOC105186865,2.235237742,5.686987951,3.87E-13,4.29E-11,hemocyte protein-glutamine gamma-glutamyltransferase
LOC105183742,2.525563951,4.440553529,3.95E-13,4.35E-11,uncharacterized protein LOC105183742
LOC105192180,2.428813016,4.539299754,4.00E-13,4.36E-11,phenoloxidase-activating factor 2 isoform X1
LOC105190672,2.914664725,7.275563922,4.55E-13,4.93E-11,probable peroxisomal acyl-coenzyme A oxidase 1
LOC105183131,-2.562654156,5.21095332,4.62E-13,4.96E-11,alkyldihydroxyacetonephosphate synthase isoform X1
LOC105186474,3.432703721,5.73677421,4.71E-13,5.01E-11,tyrosine aminotransferase
LOC105181403,3.361921702,2.830024555,5.05E-13,5.33E-11,modular serine protease
LOC105182347,2.714431905,6.501008685,5.39E-13,5.63E-11,soluble scavenger receptor cysteine-rich domain-containing protein SSC5D
LOC105183410,3.163702953,8.2698408,5.57E-13,5.78E-11,synaptotagmin 1 isoform X1
LOC105186740,2.530512855,4.442746945,6.51E-13,6.69E-11,uncharacterized protein LOC105186740 isoform X1
LOC105191379,2.263692118,8.475162274,7.21E-13,7.30E-11,neprilysin-4
LOC105181324,2.659356667,5.67827122,7.20E-13,7.30E-11,mucin-17 isoform X2
LOC105181404,2.431296056,3.50446965,8.71E-13,8.75E-11,modular serine protease isoform X1
LOC105190196,3.00551425,3.917646765,9.07E-13,9.03E-11,ankyrin-2 isoform X1
LOC105181891,1.973770301,5.017668836,1.12E-12,1.10E-10,neprilysin-4
LOC105181685,2.689286246,8.714209868,1.12E-12,1.10E-10,lipid storage droplets surface-binding protein 2
LOC105192260,2.152835829,8.6856398,1.14E-12,1.11E-10,"probable cytochrome P450 12a5, mitochondrial"
LOC105182594,2.650467565,3.548171443,1.15E-12,1.11E-10,transcriptional regulator ovo
LOC105184249,2.429503315,10.79857459,1.30E-12,1.25E-10,uncharacterized protein DDB_G0284671 isoform X3
LOC105181287,2.725338496,10.42347399,1.39E-12,1.32E-10,peroxidase isoform X3
LOC105184991,2.453008514,9.121571995,1.45E-12,1.37E-10,calcium-transporting ATPase sarcoplasmic/endoplasmic reticulum type isoform X2
LOC105181089,2.632474332,3.538421422,1.48E-12,1.38E-10,uncharacterized protein LOC105181089 isoform X3
LOC105181628,2.491340928,8.368713574,1.90E-12,1.77E-10,transmembrane protein 132B isoform X2
LOC105184603,2.705719334,6.868329858,1.92E-12,1.77E-10,uncharacterized protein LOC105184603
LOC105183359,2.413318456,7.234959013,1.98E-12,1.81E-10,uncharacterized protein LOC105183359
LOC105186905,2.285719248,4.128179254,2.02E-12,1.84E-10,aprataxin
LOC105188520,2.830869493,5.114660208,2.21E-12,2.00E-10,golgin subfamily A member 6-like protein 22 isoform X2
LOC105183222,2.365089509,5.508018452,2.30E-12,2.07E-10,hemolymph lipopolysaccharide-binding protein
LOC105183442,2.996577202,12.14479146,2.45E-12,2.18E-10,leucine-rich repeat transmembrane neuronal protein 4-like
LOC105184433,2.312245446,4.159992233,3.05E-12,2.70E-10,adenylate kinase isoenzyme 1 isoform X1
LOC105190612,3.006276801,3.675620063,3.12E-12,2.74E-10,synaptogenesis protein syg-2 isoform X4
LOC105181665,1.964541857,4.944049316,3.36E-12,2.93E-10,roundabout homolog 2
Ickin1-1,3.356318774,11.50743966,3.51E-12,3.04E-10,omega-conotoxin-like protein 1
LOC105182368,3.467845806,7.509058061,3.78E-12,3.26E-10,WAP four-disulfide core domain protein 2 isoform X2
LOC105180536,3.108803193,7.289948852,4.07E-12,3.48E-10,probable serine/threonine-protein kinase kinX isoform X1
LOC105181998,3.43152207,9.416068674,4.57E-12,3.88E-10,beta-hexosaminidase subunit beta
LOC105192324,2.919484764,5.82127679,4.67E-12,3.94E-10,junctophilin-3
LOC105187060,2.293186269,5.461795678,5.41E-12,4.53E-10,apolipoprotein D
LOC109504347,2.717974906,2.868957897,6.06E-12,5.04E-10,40S ribosomal protein S28-like
LOC105188753,2.024907221,4.175249254,6.47E-12,5.35E-10,"actin, muscle"
LOC105189356,2.061103321,4.633535188,6.64E-12,5.45E-10,uncharacterized protein LOC105189356 isoform X1
LOC105181265,2.213282744,4.934207699,6.68E-12,5.45E-10,uncharacterized protein LOC105181265 isoform X1
LOC105187613,4.055143184,4.037264858,7.17E-12,5.81E-10,cytochrome P450 9e2
LOC105182112,7.974071955,3.904575601,7.69E-12,6.20E-10,uncharacterized protein LOC105182112
LOC105184333,2.520029121,4.698573091,8.12E-12,6.48E-10,titin homolog
LOC105191415,3.651996404,2.906927672,8.15E-12,6.48E-10,O-acyltransferase like protein
LOC105191303,3.252148343,3.510839262,9.00E-12,7.12E-10,"L-threonine 3-dehydrogenase, mitochondrial"
LOC105192206,2.477571059,10.94674747,9.11E-12,7.16E-10,poly(U)-specific endoribonuclease homolog
LOC105186824,2.375898567,9.792579195,9.57E-12,7.47E-10,nuclear pore complex protein DDB_G0274915 isoform X1
LOC105180820,2.63991117,7.121386631,9.77E-12,7.59E-10,uncharacterized protein LOC105180820
LOC105185089,2.329419622,6.757285884,1.02E-11,7.84E-10,N(4)-(Beta-N-acetylglucosaminyl)-L-asparaginase isoform X1
LOC105181155,2.693019321,4.35377866,1.03E-11,7.88E-10,uncharacterized protein LOC105181155
LOC112588711,2.981837622,9.551864819,1.06E-11,8.07E-10,LOW QUALITY PROTEIN: fatty acid synthase-like
LOC105191414,2.729818575,7.224032355,1.10E-11,8.30E-10,uncharacterized protein LOC105191414
LOC105189112,2.908726631,6.134344594,1.13E-11,8.48E-10,amyloid beta A4 precursor protein-binding family B member 1-interacting protein isoform X3
LOC109503583,2.295731735,8.070324419,1.19E-11,8.92E-10,uncharacterized protein LOC109503583 isoform X1
LOC105185634,3.153839277,3.585666322,1.36E-11,1.01E-09,serine protease persephone
LOC105181576,2.691137038,3.060675961,1.46E-11,1.08E-09,PR domain zinc finger protein 16 isoform X2
LOC105190515,1.915814102,5.419768729,1.58E-11,1.16E-09,transcription factor AP-1
LOC105191060,2.91543186,8.224207864,1.68E-11,1.23E-09,facilitated trehalose transporter Tret1 isoform X2
LOC105184337,2.51420746,11.57490676,1.76E-11,1.28E-09,titin isoform X2
LOC105181529,2.066074263,8.784141754,1.90E-11,1.36E-09,protein unzipped isoform X1
LOC105180590,2.108387046,4.338839041,1.88E-11,1.36E-09,tetratricopeptide repeat protein 5
LOC105186301,3.030273284,6.988929482,1.90E-11,1.36E-09,protein croquemort
LOC105183286,-2.745082456,3.630930101,2.00E-11,1.41E-09,growth/differentiation factor 8
LOC105191569,2.329635069,5.867515119,1.99E-11,1.41E-09,epidermal growth factor receptor isoform X2
LOC105187020,2.483962637,5.440993026,2.08E-11,1.46E-09,glutamic acid-rich protein isoform X3
LOC105191753,2.656821238,3.236941736,2.13E-11,1.49E-09,GATA-binding factor C isoform X1
LOC105181153,2.494699289,5.08078174,2.45E-11,1.70E-09,uncharacterized protein LOC105181153
LOC105188725,2.880702751,4.508563954,2.55E-11,1.76E-09,uncharacterized protein LOC105188725 isoform X2
LOC105181268,3.331595083,5.425063569,2.80E-11,1.93E-09,cartilage oligomeric matrix protein isoform X1
LOC105181027,2.187685736,4.992606139,3.07E-11,2.10E-09,uncharacterized protein LOC105181027
LOC105183752,1.865888039,4.041248971,3.19E-11,2.17E-09,uncharacterized protein LOC105183752 isoform X2
LOC105187667,2.222847246,10.85101959,3.29E-11,2.22E-09,glycine-rich cell wall structural protein
LOC105191673,1.838871117,5.257079943,3.47E-11,2.33E-09,multiple epidermal growth factor-like domains protein 10
LOC105187464,4.209061843,4.609361604,3.48E-11,2.33E-09,scavenger receptor class B member 1
LOC105181354,1.966557757,4.806724327,3.52E-11,2.34E-09,voltage-dependent calcium channel subunit alpha-2/delta-3 isoform X1
LOC112590505,6.045946141,1.414011416,3.58E-11,2.37E-09,UDP-glucuronosyltransferase 2B9-like isoform X1
LOC105188316,2.723610711,9.145150817,3.95E-11,2.60E-09,four and a half LIM domains protein 2 isoform X5
LOC105184463,1.92746491,5.840453974,4.00E-11,2.62E-09,division abnormally delayed protein isoform X1
LOC105182251,2.295107556,4.061810815,4.33E-11,2.82E-09,uncharacterized protein LOC105182251
LOC112589189,3.052856191,3.656551595,4.64E-11,3.01E-09,4-coumarate--CoA ligase-like 5 isoform X1
LOC105191251,2.188720941,7.899809256,5.37E-11,3.47E-09,sex-determining transformer protein 1-like
LOC105184781,2.078183069,4.830965855,5.49E-11,3.52E-09,pro-resilin
LOC105184816,2.102483659,4.943159737,5.68E-11,3.62E-09,proton-coupled amino acid transporter 2 isoform X2
LOC105181795,2.169970757,5.338562175,5.69E-11,3.62E-09,uncharacterized protein LOC105181795 isoform X1
LOC105188997,2.535712822,5.03508644,5.76E-11,3.64E-09,putative serine protease K12H4.7
LOC105191261,4.330262316,4.829464638,5.92E-11,3.73E-09,"kynurenine/alpha-aminoadipate aminotransferase, mitochondrial"
LOC105181842,2.940372563,5.585907672,6.02E-11,3.77E-09,myosin-2 heavy chain isoform X1
LOC105185552,2.096588014,3.740150354,6.10E-11,3.80E-09,uncharacterized protein LOC105185552
LOC105182629,2.007804633,4.541615498,6.17E-11,3.83E-09,balbiani ring protein 3-like
LOC105188084,2.343853474,7.411957648,6.32E-11,3.90E-09,progestin and adipoQ receptor family member 3 isoform X1
LOC105180833,2.5393252,3.757346653,6.62E-11,4.07E-09,protein trapped in endoderm-1
LOC105185597,3.379090388,3.691382656,7.08E-11,4.33E-09,prisilkin-39
LOC105185081,2.000282763,4.036308157,7.19E-11,4.38E-09,microtubule-associated protein futsch
LOC105191100,2.272314819,4.334521936,7.41E-11,4.49E-09,hybrid signal transduction histidine kinase B-like
LOC105184959,2.448366728,5.176579555,7.51E-11,4.50E-09,putative ferric-chelate reductase 1 homolog isoform X3
LOC105183529,2.591169611,9.076207546,7.48E-11,4.50E-09,glucose dehydrogenase
LOC105185632,2.726233982,3.410979709,7.61E-11,4.54E-09,serine protease persephone
LOC105180955,2.472759319,4.778038792,7.76E-11,4.61E-09,uncharacterized protein LOC105180955 isoform X1
LOC105186820,1.833996428,4.840436842,8.11E-11,4.80E-09,transcription factor Ken isoform X2
LOC105192377,2.370624502,3.724816179,8.44E-11,4.97E-09,MAGUK p55 subfamily member 6 isoform X1
LOC105191243,2.280972959,8.767874608,8.74E-11,5.12E-09,uncharacterized protein LOC105191243 isoform X2
LOC105187264,2.235273662,5.783046632,8.98E-11,5.23E-09,poly(U)-specific endoribonuclease homolog isoform X1
LOC105190233,1.873903424,4.393956269,9.18E-11,5.33E-09,integrin alpha-PS3
LOC105180627,3.004497212,2.08862736,9.70E-11,5.61E-09,endothelin-converting enzyme 1-like isoform X2
LOC105182901,1.970951701,6.325270951,1.02E-10,5.88E-09,contactin-2 isoform X1
LOC109503794,1.912779927,5.086107997,1.03E-10,5.93E-09,uncharacterized protein LOC109503794
LOC105189824,1.772390326,5.601424344,1.05E-10,5.96E-09,dual oxidase 2
LOC105190028,2.350201624,3.343540757,1.11E-10,6.29E-09,cytochrome P450 9e2-like
LOC105187921,2.18431905,6.631850147,1.14E-10,6.42E-09,protein Tob1
LOC105185181,2.004849191,5.95210506,1.14E-10,6.44E-09,battenin
LOC105180869,1.974239277,4.240570657,1.18E-10,6.60E-09,integrin alpha-8
LOC105182487,2.270020808,3.414178089,1.18E-10,6.60E-09,ras-related protein Rab-3 isoform X2
LOC105190120,1.891907665,8.684862469,1.37E-10,7.62E-09,YTH domain-containing protein 1
LOC105183566,2.024268139,7.476067485,1.48E-10,8.10E-09,dehydrogenase/reductase SDR family member 7
LOC105182764,2.780301347,6.327738481,1.47E-10,8.10E-09,"glutamate receptor ionotropic, kainate 2-like isoform X1"
LOC105185940,2.886189777,3.79828989,1.48E-10,8.10E-09,uncharacterized protein LOC105185940
LOC105190522,1.901836608,5.698922512,1.61E-10,8.81E-09,uncharacterized protein LOC105190522 isoform X2
LOC105187281,-2.380380479,7.273944851,1.64E-10,8.87E-09,solute carrier organic anion transporter family member 4A1 isoform X1
LOC112588941,1.925310591,5.442466994,1.65E-10,8.87E-09,protein bric-a-brac 2-like
LOC105182037,2.510340505,4.875444777,1.65E-10,8.87E-09,cardioacceleratory peptide receptor isoform X1
LOC112588553,2.76294215,2.444716695,1.68E-10,8.99E-09,uncharacterized protein LOC112588553
LOC105190135,1.96214757,5.852888327,1.79E-10,9.54E-09,probable Ras GTPase-activating protein isoform X3
LOC105187149,2.415413792,4.354873403,1.79E-10,9.54E-09,elongation factor 1-alpha
LOC105191964,1.949600051,5.750579619,1.85E-10,9.81E-09,uncharacterized protein LOC105191964 isoform X2
LOC105187267,2.088916637,10.47646552,2.05E-10,1.08E-08,poly(U)-specific endoribonuclease homolog isoform X1
LOC105190958,2.094338951,4.474142569,2.08E-10,1.09E-08,uncharacterized protein LOC105190958
LOC105182741,1.989641536,5.05459335,2.10E-10,1.10E-08,MAM and LDL-receptor class A domain-containing protein 2
LOC112588527,3.11124348,3.089853483,2.21E-10,1.15E-08,uncharacterized protein LOC112588527
LOC105181824,1.955836608,8.338116204,2.29E-10,1.19E-08,chymotrypsin inhibitor-like
LOC105185774,2.781922802,5.728106309,2.38E-10,1.23E-08,uncharacterized protein LOC105185774
LOC105181797,2.112390457,3.911171532,2.41E-10,1.24E-08,carboxyl-terminal PDZ ligand of neuronal nitric oxide synthase protein isoform X1
LOC105182484,2.656626048,2.914817711,2.45E-10,1.26E-08,uncharacterized protein LOC105182484 isoform X1
LOC105183357,1.881398418,6.514510026,2.70E-10,1.38E-08,uncharacterized protein LOC105183357 isoform X1
LOC105182935,2.407453146,3.08274116,2.74E-10,1.39E-08,homeobox protein homothorax isoform X1
LOC105182036,3.061249454,2.20615374,2.74E-10,1.39E-08,lisH domain-containing protein C1711.05-like
LOC105189512,2.189598674,7.802916295,2.79E-10,1.41E-08,proton-coupled amino acid transporter-like protein pathetic
LOC105184690,2.204191927,3.381935515,2.81E-10,1.41E-08,calcitonin gene-related peptide type 1 receptor isoform X1
LOC105192538,2.240697907,3.109667989,2.84E-10,1.42E-08,nucleolysin TIAR isoform X3
LOC105184350,2.506813556,7.413859495,2.86E-10,1.43E-08,titin homolog isoform X1
LOC105181229,3.063560979,6.725552167,3.09E-10,1.53E-08,"homogentisate 1,2-dioxygenase isoform X3"
LOC105182756,2.283052939,6.108971866,3.14E-10,1.55E-08,uncharacterized protein LOC105182756 isoform X2
LOC105181133,2.396655889,4.937786809,3.25E-10,1.60E-08,sphingosine kinase 1 isoform X1
LOC105188500,1.827217776,6.646681593,3.39E-10,1.66E-08,"protein kinase C, brain isozyme isoform X1"
LOC105184094,2.076711304,5.957965252,3.38E-10,1.66E-08,golgin subfamily A member 6-like protein 7 isoform X5
LOC105188613,2.174331588,9.485047563,3.64E-10,1.77E-08,ATP-binding cassette sub-family G member 4
LOC105188771,1.79161312,5.241426521,3.67E-10,1.78E-08,E3 ubiquitin-protein ligase MYLIP
LOC105186426,1.87415334,7.368556278,3.70E-10,1.79E-08,uncharacterized protein LOC105186426
LOC105186692,2.113270143,4.271703204,3.74E-10,1.80E-08,spondin-1 isoform X1
LOC105188568,1.927357015,5.653003938,4.23E-10,2.02E-08,centrosomal protein of 78 kDa
LOC105182703,2.230177053,5.706242808,4.22E-10,2.02E-08,"insulin-like growth factor-binding protein complex acid labile subunit, partial"
LOC105180571,2.198572301,3.536517001,4.34E-10,2.06E-08,arylsulfatase B isoform X1
LOC105180468,2.142272905,4.228656871,4.62E-10,2.19E-08,LOW QUALITY PROTEIN: protein decapentaplegic-like
LOC105184187,1.899895318,7.816667254,4.75E-10,2.24E-08,"2-oxoglutarate dehydrogenase, mitochondrial isoform X6"
LOC105180971,2.193489442,7.472757706,4.92E-10,2.31E-08,filamin-A isoform X4
LOC105187964,2.360337677,4.559376467,5.03E-10,2.36E-08,uncharacterized protein LOC105187964
LOC105181686,2.751833602,9.05601488,5.30E-10,2.47E-08,lipid storage droplets surface-binding protein 2 isoform X1
LOC105190201,2.040734213,3.568288975,5.49E-10,2.55E-08,guanine nucleotide-binding protein G(i) subunit alpha isoform X1
LOC105191558,2.273939989,2.84476556,5.52E-10,2.56E-08,uncharacterized protein LOC105191558
LOC105189953,1.849734372,4.544393558,5.80E-10,2.68E-08,keratocan
LOC105190839,1.801665574,5.9874987,5.95E-10,2.74E-08,disks large homolog 4 isoform X4
LOC105192155,1.762266512,4.248937479,6.09E-10,2.78E-08,multiple C2 and transmembrane domain-containing protein isoform X8
LOC105191441,2.459153726,7.208862132,6.07E-10,2.78E-08,cadherin-99C isoform X1
