Protein	GO.term
LOC105180472	GO:0001836
LOC105180472	GO:0051602
LOC105180472	GO:0001315
LOC105180472	GO:0051881
LOC105180472	GO:0003069
LOC105180472	GO:0048773
LOC105180472	GO:1902176
LOC105180472	GO:0030335
LOC105180472	GO:0014823
LOC105180472	GO:0048147
LOC105180472	GO:0051716
LOC105180472	GO:0008217
LOC105180472	GO:1903146
LOC105180473	GO:0009987
LOC105180473	GO:0008152
LOC105180473	GO:0008150
LOC105180473	GO:0048749
LOC105180473	GO:0019099
LOC105180473	GO:0007539
LOC105180473	GO:0010467
LOC105180473	GO:0043170
LOC105180474	GO:0008150
LOC105180474	GO:0043170
LOC105180474	GO:0008152
LOC105180474	GO:0009987
LOC105180474	GO:0061014
LOC105180474	GO:0046039
LOC105180474.10.p1	GO:0008150
LOC105180474.10.p1	GO:0043170
LOC105180474.10.p1	GO:0008152
LOC105180474.10.p1	GO:0009987
LOC105180474.10.p1	GO:0061014
LOC105180474.10.p1	GO:0046039
LOC105180474.11.p1	GO:0008150
LOC105180474.11.p1	GO:0043170
LOC105180474.11.p1	GO:0008152
LOC105180474.11.p1	GO:0009987
LOC105180474.11.p1	GO:0061014
LOC105180474.11.p1	GO:0046039
LOC105180474.2.p1	GO:0008150
LOC105180474.2.p1	GO:0043170
LOC105180474.2.p1	GO:0008152
LOC105180474.2.p1	GO:0009987
LOC105180474.2.p1	GO:0061014
LOC105180474.2.p1	GO:0046039
LOC105180474.6.p1	GO:0008150
LOC105180474.6.p1	GO:0043170
LOC105180474.6.p1	GO:0008152
LOC105180474.6.p1	GO:0009987
LOC105180474.6.p1	GO:0061014
LOC105180474.6.p1	GO:0046039
LOC105180474.7.p1	GO:0008150
LOC105180474.7.p1	GO:0043170
LOC105180474.7.p1	GO:0008152
LOC105180474.7.p1	GO:0009987
LOC105180474.7.p1	GO:0061014
LOC105180474.7.p1	GO:0046039
LOC105180474.8.p1	GO:0008150
LOC105180474.8.p1	GO:0043170
LOC105180474.8.p1	GO:0008152
LOC105180474.8.p1	GO:0009987
LOC105180474.8.p1	GO:0061014
LOC105180474.8.p1	GO:0046039
LOC105180474.9.p1	GO:0008150
LOC105180474.9.p1	GO:0043170
LOC105180474.9.p1	GO:0008152
LOC105180474.9.p1	GO:0009987
LOC105180474.9.p1	GO:0061014
LOC105180474.9.p1	GO:0046039
LOC105180475	GO:0032502
LOC105180475	GO:0051716
LOC105180475	GO:0009799
LOC105180475	GO:0008150
LOC105180475	GO:0009987
LOC105180476	GO:0009987
LOC105180476	GO:0008150
LOC105180476	GO:0051301
LOC105180477	GO:0008152
LOC105180477	GO:0008150
LOC105180477	GO:0009987
LOC105180477	GO:0043170
LOC105180477	GO:0000027
LOC105180477	GO:0000184
LOC105180477	GO:0045901
LOC105180478	GO:0008150
LOC105180478	GO:0009987
LOC105180478	GO:0032092
LOC105180478	GO:0031648
LOC105180478	GO:0008152
LOC105180479.2.p1	GO:0006886
LOC105180479.2.p1	GO:0070727
LOC105180479.2.p1	GO:0034613
LOC105180479.2.p1	GO:0009987
LOC105180479.2.p1	GO:0008150
LOC105180481	GO:0043170
LOC105180481	GO:0006468
LOC105180481	GO:0008152
LOC105180481	GO:0008150
LOC105180481	GO:0090023
LOC105180481	GO:1900181
LOC105180481	GO:0021766
LOC105180481	GO:0016197
LOC105180483	GO:0008150
LOC105180483	GO:0009987
LOC105180483	GO:0031116
LOC105180483	GO:0007026
LOC105180483	GO:0032703
LOC105180483	GO:0003025
LOC105180483	GO:0030336
LOC105180487	GO:0008150
LOC105180487	GO:0009987
LOC105180489	GO:0009987
LOC105180489	GO:0043170
LOC105180489	GO:0008150
LOC105180489	GO:0008152
LOC105180489	GO:1901362
LOC105180489	GO:0045019
LOC105180489	GO:0071222
LOC105180489	GO:1900149
LOC105180489	GO:0010989
LOC105180490	GO:0009987
LOC105180490	GO:0008152
LOC105180490	GO:0008150
LOC105180490	GO:0046038
LOC105180490	GO:0030224
LOC105180490	GO:0015951
LOC105180491	GO:0043170
LOC105180491	GO:0008150
LOC105180491	GO:0009987
LOC105180491	GO:1990000
LOC105180491	GO:0031115
LOC105180491	GO:1902991
LOC105180491	GO:0043123
LOC105180491	GO:0006463
LOC105180491	GO:0031000
LOC105180491	GO:0031111
LOC105180491	GO:0010977
LOC105180491	GO:0031398
LOC105180491	GO:0032092
LOC105180491	GO:0008152
LOC105180494	GO:0008150
LOC105180494	GO:0009987
LOC105180497	GO:0008152
LOC105180497	GO:0043170
LOC105180497	GO:0008150
LOC105180497	GO:0009987
LOC105180497	GO:0032268
LOC105180499	GO:0008150
LOC105180499	GO:0046546
LOC105180499	GO:0046545
LOC105180502	GO:0032268
LOC105180502	GO:0008150
LOC105180502	GO:0043170
LOC105180502	GO:0010556
LOC105180502	GO:0008152
LOC105180502	GO:0032984
LOC105180502	GO:0009987
LOC105180502	GO:0031326
LOC105180502	GO:0043603
LOC105180504	GO:0008150
LOC105180504	GO:0009987
LOC105180504	GO:0008218
LOC105180504	GO:0009699
LOC105180504	GO:0009851
LOC105180507	GO:0008152
LOC105180507	GO:0009987
LOC105180507	GO:0008150
LOC105180507	GO:0045070
LOC105180507	GO:0002931
LOC105180507	GO:0045069
LOC105180507	GO:0070266
LOC105180507	GO:0010939
LOC105180507	GO:0019068
LOC105180507	GO:0035722
LOC105180507	GO:0071243
LOC105180507	GO:0032780
LOC105180507	GO:2000276
LOC105180507	GO:0090200
LOC105180507	GO:0070301
LOC105180507	GO:0090201
LOC105180507	GO:2001243
LOC105180507	GO:0090324
LOC105180507	GO:0050714
LOC105180507	GO:0010849
LOC105180507	GO:0071277
LOC105180507	GO:0006283
LOC105180507	GO:1902445
LOC105180510	GO:0008152
LOC105180510	GO:0032446
LOC105180510	GO:0048585
LOC105180510	GO:0008150
LOC105180510	GO:0009987
LOC105180510	GO:0043170
LOC105180510	GO:0010029
LOC105180510.6.p1	GO:0008152
LOC105180510.6.p1	GO:0032446
LOC105180510.6.p1	GO:0048585
LOC105180510.6.p1	GO:0008150
LOC105180510.6.p1	GO:0009987
LOC105180510.6.p1	GO:0043170
LOC105180510.6.p1	GO:0010029
LOC105180510.8.p1	GO:0008152
LOC105180510.8.p1	GO:0032446
LOC105180510.8.p1	GO:0048585
LOC105180510.8.p1	GO:0008150
LOC105180510.8.p1	GO:0009987
LOC105180510.8.p1	GO:0043170
LOC105180510.8.p1	GO:0010029
LOC105180515	GO:0009987
LOC105180515	GO:0016192
LOC105180515	GO:0008150
LOC105180515	GO:0006687
LOC105180515	GO:1903235
LOC105180515	GO:0071277
LOC105180515	GO:0014059
LOC105180515	GO:0071911
LOC105180515	GO:0008152
LOC105180516	GO:0008150
LOC105180516	GO:0009987
LOC105180518	GO:0008152
LOC105180518	GO:0009987
LOC105180518	GO:0008150
LOC105180518	GO:0035196
LOC105180518	GO:0009637
LOC105180519	GO:0009987
LOC105180519	GO:0008150
LOC105180519	GO:0008152
LOC105180519	GO:0016192
LOC105180520	GO:0008150
LOC105180520	GO:0009987
LOC105180521.1.p1	GO:0008150
LOC105180521.1.p1	GO:0009987
LOC105180521.1.p1	GO:0046620
LOC105180521.2.p1	GO:0008150
LOC105180521.2.p1	GO:0009987
LOC105180521.2.p1	GO:0046620
LOC105180521.3.p1	GO:0008150
LOC105180521.3.p1	GO:0009987
LOC105180521.3.p1	GO:0046620
LOC105180521	GO:0008150
LOC105180521	GO:0009987
LOC105180521	GO:0046620
LOC105180521.5.p1	GO:0008150
LOC105180521.5.p1	GO:0009987
LOC105180521.5.p1	GO:0046620
LOC105180521.6.p1	GO:0008150
LOC105180521.6.p1	GO:0009987
LOC105180521.6.p1	GO:0046620
LOC105180523	GO:0008150
LOC105180523	GO:0008152
LOC105180523	GO:0009987
LOC105180523	GO:0043170
LOC105180525	GO:0006413
LOC105180525	GO:0032268
LOC105180525	GO:0043170
LOC105180525	GO:0009987
LOC105180525	GO:0010467
LOC105180525	GO:0001731
LOC105180525	GO:0008150
LOC105180525	GO:0008152
LOC105180525	GO:0045903
LOC105180526	GO:0008150
LOC105180527	GO:0008150
LOC105180527	GO:0009987
LOC105180527	GO:0008152
LOC105180527	GO:0015992
LOC105180528	GO:0009987
LOC105180528	GO:0008150
LOC105180529	GO:0008152
LOC105180529	GO:0009987
LOC105180529	GO:0008150
LOC105180531	GO:0008150
LOC105180531	GO:0009987
LOC105180532	GO:0008152
LOC105180532	GO:0008150
LOC105180532	GO:0009987
LOC105180532	GO:0000462
LOC105180532	GO:0040019
LOC105180532	GO:0031648
LOC105180533	GO:0008150
LOC105180533	GO:0009987
LOC105180533	GO:0006665
LOC105180533	GO:0006658
LOC105180533	GO:0006564
LOC105180533	GO:1904222
LOC105180533	GO:0009597
LOC105180533	GO:0044091
LOC105180533	GO:1904219
LOC105180533.15.p1	GO:0008150
LOC105180533.15.p1	GO:0009987
LOC105180533.15.p1	GO:0006665
LOC105180533.15.p1	GO:0006658
LOC105180533.15.p1	GO:0006564
LOC105180533.15.p1	GO:1904222
LOC105180533.15.p1	GO:0009597
LOC105180533.15.p1	GO:0044091
LOC105180533.15.p1	GO:1904219
LOC105180533	GO:0042552
LOC105180533	GO:0045087
LOC105180534	GO:0009987
LOC105180534	GO:0008150
LOC105180535	GO:0008150
LOC105180535	GO:0008152
LOC105180536	GO:0009987
LOC105180536	GO:0008150
LOC105180536	GO:0008152
LOC105180537	GO:0032268
LOC105180537	GO:0016192
LOC105180537	GO:0008152
LOC105180537	GO:0007017
LOC105180537	GO:0070727
LOC105180537	GO:0043170
LOC105180537	GO:0006886
LOC105180537	GO:0034613
LOC105180537	GO:0009987
LOC105180537	GO:0008150
LOC105180537	GO:0032989
LOC105180537	GO:0032879
LOC105180538	GO:0008150
LOC105180538	GO:0008152
LOC105180540	GO:0010556
LOC105180540	GO:0009987
LOC105180540	GO:0008150
LOC105180540	GO:0008152
LOC105180540	GO:0031326
LOC105180540	GO:0043170
LOC105180540	GO:0032268
LOC105180540	GO:0030154
LOC105180540	GO:0010467
LOC105180542	GO:0008150
LOC105180542	GO:0009987
LOC105180542	GO:0043170
LOC105180543	GO:0008152
LOC105180543	GO:0008150
LOC105180543	GO:0009987
LOC105180543	GO:0000281
LOC105180543	GO:0048642
LOC105180543	GO:0032922
LOC105180543	GO:1900246
LOC105180543	GO:1900227
LOC105180543	GO:0045805
LOC105180543	GO:0090263
LOC105180543	GO:0045931
LOC105180543	GO:0061060
LOC105180543	GO:0051926
LOC105180543	GO:0043153
LOC105180543	GO:0045475
LOC105180543	GO:0048512
LOC105180543	GO:1904669
LOC105180543	GO:0043170
LOC105180543	GO:0007179
LOC105180543	GO:0000122
LOC105180544	GO:0043170
LOC105180544	GO:0008150
LOC105180544	GO:0006355
LOC105180544	GO:0009987
LOC105180544	GO:0008152
LOC105180544	GO:2001141
LOC105180544	GO:0019219
LOC105180544	GO:0070727
LOC105180544	GO:0010556
LOC105180544	GO:0018130
LOC105180544	GO:0031326
LOC105180544	GO:0032502
LOC105180544	GO:0030578
LOC105180545	GO:0008150
LOC105180545	GO:0009987
LOC105180547	GO:0008150
LOC105180547	GO:0008152
LOC105180547	GO:0009987
LOC105180547	GO:0043170
LOC105180547	GO:0040018
LOC105180548	GO:0043170
LOC105180548	GO:0008150
LOC105180548	GO:0008152
LOC105180548	GO:0009987
LOC105180549	GO:0016192
LOC105180549	GO:0008150
LOC105180549	GO:0009987
LOC105180549	GO:0009630
LOC105180549	GO:0048490
LOC105180549	GO:0008089
LOC105180549	GO:0007269
LOC105180549	GO:0009267
LOC105180550	GO:0008152
LOC105180550	GO:0045892
LOC105180550	GO:0008150
LOC105180550	GO:0009987
LOC105180550	GO:0043170
LOC105180550	GO:1902679
LOC105180550.6.p1	GO:0043170
LOC105180550.6.p1	GO:1902679
LOC105180550.6.p1	GO:0009987
LOC105180550.6.p1	GO:0008152
LOC105180550.6.p1	GO:0008150
LOC105180554	GO:0009987
LOC105180554	GO:0008152
LOC105180554	GO:0008150
LOC105180554	GO:0051603
LOC105180554	GO:0002479
LOC105180554	GO:0090263
LOC105180554	GO:0006521
LOC105180554	GO:0050852
LOC105180554	GO:0033209
LOC105180554	GO:0080129
LOC105180554	GO:0043488
LOC105180554	GO:1902036
LOC105180554	GO:0010972
LOC105180554	GO:0046686
LOC105180554	GO:0045842
LOC105180555	GO:0009987
LOC105180555	GO:0008150
LOC105180557	GO:0010467
LOC105180557	GO:0009987
