genes,logFC,logCPM,PValue,FDR,Annotation
LOC105181766,-6.9138344,5.82758638,7.10E-57,3.10E-54,mitochondrial amidoxime reducing component 2
LOC105181587,-7.5121092,5.99981076,7.37E-57,3.11E-54,venom acid phosphatase Acph-1 isoform X1
LOC105188815,-6.5865226,7.79482545,4.95E-56,2.02E-53,uncharacterized protein LOC105188815
LOC105181750,-8.1762326,5.45392531,5.79E-56,2.29E-53,uncharacterized protein LOC105181750 isoform X1
LOC105190357,-6.1386815,6.19352379,6.57E-56,2.52E-53,flexible cuticle protein 12
LOC105188829,-7.2702669,8.51867816,1.11E-54,4.15E-52,uncharacterized protein LOC105188829
LOC105181752,-6.1803375,6.36952402,2.39E-53,8.65E-51,mitochondrial amidoxime reducing component 2 isoform X1
LOC105182116,-7.1668378,5.34380062,6.69E-51,2.35E-48,uncharacterized protein LOC105182116
LOC105190429,-9.2348543,8.03819838,1.33E-50,4.54E-48,acyl-CoA Delta(11) desaturase
LOC105186970,-6.1618141,5.71258216,2.70E-50,9.00E-48,uncharacterized protein LOC105186970
LOC105184778,-7.5653021,5.42720944,4.50E-49,1.46E-46,uncharacterized protein LOC105184778
LOC112590035,-6.9584514,5.13093587,1.10E-48,3.47E-46,glutamic acid-rich protein-like
LOC105181753,-8.2321811,5.11202868,1.45E-48,4.47E-46,uncharacterized protein LOC105181753
LOC105186240,-4.248702,5.84553647,5.27E-48,1.59E-45,ankyrin repeat and death domain-containing protein 1A isoform X1
LOC105188712,-5.7626588,5.91484695,1.14E-47,3.35E-45,"kynurenine/alpha-aminoadipate aminotransferase, mitochondrial"
LOC105185398,-4.3462985,5.92816002,3.62E-47,1.04E-44,facilitated trehalose transporter Tret1 isoform X1
LOC105189923,-7.6518132,5.48974652,3.80E-47,1.07E-44,thyrotropin-releasing hormone-degrading ectoenzyme-like
LOC105189162,-5.1909911,5.47221282,5.88E-45,1.62E-42,uncharacterized protein LOC105189162
LOC105186969,-4.0760257,7.30736428,1.22E-44,3.27E-42,insulin-like growth factor I isoform X1
LOC105189338,-3.7379859,7.49815152,6.96E-43,1.83E-40,uncharacterized protein LOC105189338
LOC105181078,-6.3630104,4.94609883,1.12E-42,2.89E-40,uncharacterized protein LOC105181078
LOC105180716,-5.2790476,7.26505177,2.13E-42,5.39E-40,uncharacterized protein LOC105180716
LOC105180715,-7.9233249,4.78560276,9.75E-42,2.42E-39,luciferin 4-monooxygenase isoform X1
LOC105181758,-7.3868962,5.01863688,6.06E-41,1.47E-38,mitochondrial amidoxime reducing component 2-like
LOC105184639,-3.7054922,6.57527262,1.93E-40,4.61E-38,PR domain zinc finger protein 13
LOC105184038,-4.3891326,6.45587351,3.03E-40,7.11E-38,glutamyl aminopeptidase
LOC105188811,-5.7827179,5.89519313,3.60E-40,8.29E-38,aminopeptidase N-like
LOC109504011,-11.505657,4.39778623,1.75E-38,3.95E-36,uncharacterized protein LOC109504011
LOC105181757,-7.6037833,4.45230295,2.06E-38,4.57E-36,mitochondrial amidoxime-reducing component 1-like
LOC105188814,-6.2557728,5.2646782,3.46E-38,7.55E-36,aminopeptidase N-like
LOC105181760,-5.7820348,5.19801917,7.12E-38,1.53E-35,mitochondrial amidoxime reducing component 2
LOC105181756,-6.9946058,4.74897599,1.44E-37,3.04E-35,mitochondrial amidoxime-reducing component 1
LOC105192652,-6.4504532,4.60496555,3.41E-37,7.08E-35,uncharacterized protein LOC105192652
LOC105189593,-4.2810476,6.00956894,7.34E-37,1.50E-34,protein artichoke
LOC105182106,-7.753865,4.58488323,2.14E-36,4.30E-34,glutamyl aminopeptidase-like
LOC105186687,-6.3330418,5.00498663,4.82E-36,9.53E-34,uncharacterized protein LOC105186687
LOC105189914,-6.9249629,5.12850522,6.49E-36,1.26E-33,thyrotropin-releasing hormone-degrading ectoenzyme-like
LOC105189159,-6.5158803,4.57907413,3.97E-35,7.61E-33,uncharacterized protein LOC105189159
LOC105186625,3.45199995,7.0924837,5.21E-34,9.83E-32,toll-like receptor Tollo
LOC105186950,-10.988131,3.91309649,5.84E-34,1.08E-31,uncharacterized protein LOC105186950 isoform X2
LOC112590275,-11.116768,4.03149952,5.91E-34,1.08E-31,uncharacterized protein LOC112590275 isoform X1
LOC105189188,-6.6128847,4.44506148,7.39E-34,1.34E-31,uncharacterized protein LOC105189188
LOC105186352,-7.7642781,5.93149959,9.76E-34,1.74E-31,phospholipase A2
LOC105182110,-9.1573092,4.63235016,1.60E-33,2.81E-31,uncharacterized protein LOC105182110
LOC109504397,-7.2489862,4.16191376,2.16E-32,3.75E-30,uncharacterized protein LOC109504397
LOC105181996,-6.097487,5.20231439,3.00E-32,5.13E-30,uncharacterized protein LOC105181996
LOC105184616,-8.5398342,3.98348933,4.33E-32,7.31E-30,uncharacterized protein LOC105184616
LOC105190216,-5.98115,4.21868971,1.28E-31,2.13E-29,eukaryotic translation initiation factor 2-alpha kinase 1
LOC105188093,-3.2724091,6.76242951,1.52E-31,2.50E-29,GATA-binding factor A isoform X1
LOC105182002,-7.8456383,4.18215376,1.78E-31,2.90E-29,uncharacterized protein LOC105182002
LOC105188813,-5.3754465,5.36965586,2.52E-31,4.04E-29,aminopeptidase N-like
LOC105182099,-6.3808925,4.43626504,2.78E-31,4.40E-29,uncharacterized protein LOC105182099
LOC105190453,-5.8804688,4.58737643,3.31E-31,5.16E-29,putative fatty acyl-CoA reductase CG5065
LOC105188971,-6.7034784,4.02329925,3.70E-31,5.71E-29,uncharacterized protein LOC105188971
LOC105184427,-4.7202116,6.37615039,1.70E-30,2.59E-28,piwi-like protein Siwi
LOC105186007,-5.006069,6.18174491,1.79E-30,2.69E-28,uncharacterized protein LOC105186007
LOC112588055,-5.8020667,4.54025604,1.89E-30,2.81E-28,uncharacterized protein LOC112588055
LOC105182549,-6.0891846,4.83578407,2.67E-30,3.93E-28,thyrotropin-releasing hormone-degrading ectoenzyme
LOC105192378,3.7190039,4.96140273,9.03E-30,1.31E-27,venom dipeptidyl peptidase 4 isoform X3
LOC105189830,-10.483025,3.45371399,1.89E-29,2.71E-27,uncharacterized protein LOC105189830 isoform X1
LOC105183247,3.36796615,5.2028811,2.32E-29,3.30E-27,probable chitinase 10
LOC105185069,-11.06537,3.97723147,2.47E-29,3.48E-27,uncharacterized protein LOC105185069
LOC105192396,-6.1364826,6.43632298,2.55E-29,3.55E-27,uncharacterized protein LOC105192396
LOC105181912,4.58198049,5.98445436,2.67E-29,3.68E-27,transcriptional activator cubitus interruptus
LOC105188881,-3.5544889,6.06357134,2.90E-29,3.95E-27,protein deadpan
LOC105187404,-7.292307,3.71576896,1.19E-28,1.60E-26,uncharacterized protein LOC105187404 isoform X1
LOC112589355,-5.0174868,4.69593306,2.50E-28,3.32E-26,4-coumarate--CoA ligase 2-like
LOC105185313,-5.4286817,4.48438474,3.43E-28,4.52E-26,uncharacterized protein LOC105185313
LOC105188835,-5.5358371,5.17636983,4.36E-28,5.69E-26,aminopeptidase N
LOC105185688,-10.465504,3.42782215,6.00E-28,7.75E-26,uncharacterized protein LOC105185688 isoform X1
LOC105184249,4.34217131,8.20355272,7.29E-28,9.32E-26,uncharacterized protein DDB_G0284671 isoform X3
LOC105185004,4.78732645,5.31446229,7.55E-28,9.56E-26,insulin-like growth factor-binding protein complex acid labile subunit
LOC105191606,4.04200993,4.12666532,1.92E-27,2.41E-25,arrestin homolog isoform X1
LOC105181831,2.63746427,7.42732846,2.15E-27,2.67E-25,headcase protein
LOC105187956,-3.4376349,5.81335457,3.00E-27,3.68E-25,afadin- and alpha-actinin-binding protein
LOC105188370,-7.5741116,3.10907736,5.86E-27,7.13E-25,protein FAM76A
LOC105185056,-8.1138897,3.64944216,1.31E-26,1.58E-24,uncharacterized protein LOC105185056
LOC105188610,2.9764405,6.09858145,1.40E-26,1.67E-24,excitatory amino acid transporter 2 isoform X3
LOC105182337,-3.9966909,5.77206644,1.49E-26,1.77E-24,venom carboxylesterase-6
LOC105189000,2.52214101,7.17195073,3.47E-26,4.06E-24,LOW QUALITY PROTEIN: uncharacterized protein LOC105189000
LOC105186585,-3.4179688,7.46554775,1.11E-25,1.29E-23,PITH domain-containing protein 1 isoform X1
LOC105186620,3.96443507,4.63692293,1.20E-25,1.38E-23,hillarin isoform X2
LOC112590710,-4.3836776,4.41065305,1.21E-25,1.38E-23,uncharacterized protein LOC112590710
LOC105184288,6.17045842,8.28865843,1.64E-25,1.86E-23,facilitated trehalose transporter Tret1-2 homolog
LOC105185070,-6.1795064,3.74523508,2.25E-25,2.52E-23,uncharacterized protein LOC105185070
LOC105180914,-2.8855011,7.57523707,2.44E-25,2.71E-23,lipase 3
LOC105186979,-5.755323,3.69266148,2.54E-25,2.80E-23,ras-related and estrogen-regulated growth inhibitor isoform X2
LOC105188896,3.31398997,8.23486454,2.73E-25,2.98E-23,teneurin-m isoform X1
LOC105185068,-6.5467732,3.50540777,3.04E-25,3.29E-23,uncharacterized protein LOC105185068
LOC105191621,3.07780594,6.17756968,3.29E-25,3.53E-23,frizzled-2
LOC105184311,3.93813343,6.44483192,3.58E-25,3.81E-23,tyrosine-protein kinase transmembrane receptor Ror
LOC105191438,-2.6706485,5.96385947,3.82E-25,4.03E-23,uncharacterized protein LOC105191438 isoform X1
LOC105182691,-10.310774,3.27926954,6.98E-25,7.30E-23,aquaporin-11-like
LOC112590712,-5.3894265,3.98251114,8.51E-25,8.79E-23,uncharacterized protein LOC112590712
LOC105186530,3.78154646,4.70142601,8.54E-25,8.79E-23,lachesin isoform X2
LOC105188857,-5.8110787,3.45987309,1.30E-24,1.33E-22,zinc finger Y-chromosomal protein 2
LOC105183285,-2.7372929,7.21489109,1.65E-24,1.67E-22,lambda-crystallin homolog
LOC112589346,-6.4313756,4.41950981,1.81E-24,1.82E-22,uncharacterized protein LOC112589346 isoform X1
LOC105188655,-5.9472625,4.092662,2.42E-24,2.41E-22,L-asparaginase
LOC105182403,-3.6017561,4.56667347,2.47E-24,2.44E-22,probable RNA methyltransferase CG11342 isoform X1
LOC105191379,5.73639966,7.72655155,2.88E-24,2.83E-22,neprilysin-4
LOC112589664,4.37184408,6.25573495,3.67E-24,3.57E-22,Krueppel homolog 1-like
LOC105185197,-2.1747257,6.78011962,3.95E-24,3.82E-22,serine protease snake-like
LOC105191444,-4.2719324,4.76260416,4.63E-24,4.44E-22,uncharacterized protein LOC105191444
LOC105185459,3.44343386,7.18751815,4.69E-24,4.47E-22,uncharacterized protein LOC105185459 isoform X3
LOC105182703,2.70247616,6.34640281,4.76E-24,4.49E-22,"insulin-like growth factor-binding protein complex acid labile subunit, partial"
LOC105188252,-4.59503,4.11731061,4.82E-24,4.52E-22,LOW QUALITY PROTEIN: adenylate cyclase type 10-like
LOC105183275,-2.5637571,6.73116525,6.34E-24,5.90E-22,serine/threonine-protein kinase Aurora-2
LOC105185771,-5.7895531,3.42221248,6.53E-24,6.03E-22,ejaculatory bulb-specific protein 3
LOC105189430,-2.6756772,8.3987583,7.51E-24,6.88E-22,ubiquitin-like-conjugating enzyme ATG3
LOC105188844,4.75241753,5.81453312,8.04E-24,7.32E-22,homeotic protein ultrabithorax isoform X2
LOC112589223,-5.5668346,9.19234802,8.69E-24,7.85E-22,uncharacterized protein LOC112589223
LOC105188753,7.13903945,6.59297577,9.11E-24,8.18E-22,"actin, muscle"
LOC105187836,-5.5686415,4.09600462,1.05E-23,9.40E-22,angiotensin-converting enzyme isoform X1
LOC105192018,3.24396769,5.26402937,1.31E-23,1.16E-21,LOW QUALITY PROTEIN: protein tiptop
LOC105180926,-4.5592366,4.60131169,1.66E-23,1.46E-21,alpha-glucosidase isoform X2
LOC105186390,-4.6576136,10.0703587,1.94E-23,1.69E-21,uncharacterized protein LOC105186390
LOC105187087,-5.8186581,3.12698238,2.47E-23,2.14E-21,glutamyl aminopeptidase isoform X1
LOC105181755,-5.1177191,4.19241908,2.55E-23,2.20E-21,uncharacterized protein LOC105181755 isoform X1
LOC105180504,3.61127874,6.33259795,3.26E-23,2.79E-21,4-coumarate--CoA ligase 1 isoform X1
LOC105181188,-5.6564266,8.32417736,3.48E-23,2.95E-21,uncharacterized protein LOC105181188
LOC105188834,-3.1349332,5.06561439,6.98E-23,5.89E-21,aminopeptidase N-like
LOC105183988,-4.1321379,4.79434053,7.18E-23,6.02E-21,inositol monophosphatase 2
LOC105191149,-3.2328097,5.57891764,1.03E-22,8.58E-21,ejaculatory bulb-specific protein 3
LOC105189278,3.52647103,7.32173709,1.96E-22,1.62E-20,fibrillin-2 isoform X2
LOC112588278,-5.5263597,3.97104504,2.99E-22,2.46E-20,uncharacterized protein LOC112588278
LOC105185970,4.67864839,6.10755157,3.02E-22,2.46E-20,GAS2-like protein pickled eggs
LOC105181432,3.39113766,7.71548848,3.75E-22,3.05E-20,serine/arginine repetitive matrix protein 2
LOC105182105,-7.3705159,2.90909183,4.11E-22,3.31E-20,glutamyl aminopeptidase
LOC105189194,4.97255593,5.82540224,4.15E-22,3.32E-20,protein obstructor-E
LOC105191533,3.63042311,9.37390192,4.23E-22,3.37E-20,tensin-3 isoform X1
LOC105186426,-2.379393,7.8159975,4.49E-22,3.55E-20,uncharacterized protein LOC105186426
LOC105189925,-6.1167824,3.44459892,4.94E-22,3.88E-20,aminopeptidase M1-A
LOC105182952,3.91238328,3.03056065,5.57E-22,4.35E-20,leucine-rich repeat-containing protein 24
LOC112588782,-5.0421735,4.30393404,5.67E-22,4.40E-20,thyrotropin-releasing hormone-degrading ectoenzyme-like
LOC105189361,2.8347735,5.5582236,6.24E-22,4.81E-20,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase isoform X1"
LOC105180955,3.35198064,6.2804242,6.28E-22,4.81E-20,uncharacterized protein LOC105180955 isoform X1
LOC105181079,-6.172991,3.96224874,6.85E-22,5.22E-20,uncharacterized protein LOC105181079 isoform X1
LOC105182113,-5.7170944,3.39815783,8.79E-22,6.66E-20,uncharacterized protein LOC105182113
LOC105188516,5.68696767,8.48086256,1.03E-21,7.75E-20,protein lethal(2)essential for life
LOC105182277,2.6927541,5.2465781,1.19E-21,8.89E-20,uncharacterized LOC105182277 isoform X1
LOC105185813,-3.301886,5.77271011,1.97E-21,1.46E-19,cuticle protein 67
LOC105187328,4.91613727,8.43069422,2.04E-21,1.51E-19,inositol oxygenase isoform X1
LOC105189260,-6.4772594,3.43993517,2.14E-21,1.57E-19,thyrotropin-releasing hormone-degrading ectoenzyme-like
LOC105184039,-3.773794,4.14221882,2.21E-21,1.62E-19,glutamyl aminopeptidase-like
LOC105192005,-3.5215932,5.26806952,2.31E-21,1.68E-19,dendritic arbor reduction protein 1
LOC105191081,4.71490762,7.14531404,3.46E-21,2.50E-19,uncharacterized protein LOC105191081
LOC105186089,-4.9284644,7.82672963,3.47E-21,2.50E-19,NPC intracellular cholesterol transporter 2 homolog a
LOC105181972,-3.0843573,5.58746507,3.63E-21,2.60E-19,peroxisomal leader peptide-processing protease isoform X2
LOC105185064,-6.5750269,2.94982216,3.68E-21,2.62E-19,uncharacterized protein LOC105185064
LOC105184238,-2.585821,5.75551234,4.78E-21,3.38E-19,sorbitol dehydrogenase
LOC105189922,-5.6820605,3.79758992,5.54E-21,3.90E-19,aminopeptidase M1-C-like isoform X2
LOC105180933,-2.3705113,6.05754279,5.60E-21,3.92E-19,uncharacterized protein LOC105180933
LOC105187127,5.19436088,7.04410279,5.76E-21,4.00E-19,prostaglandin E2 receptor EP2 subtype isoform X1
LOC105184779,-3.0261145,7.19932914,7.72E-21,5.34E-19,uncharacterized protein LOC105184779 isoform X2
LOC105187474,2.15714725,6.75479233,1.01E-20,6.93E-19,uncharacterized protein LOC105187474 isoform X1
LOC105190716,2.15354627,6.68679557,1.04E-20,7.12E-19,uncharacterized protein LOC105190716 isoform X1
LOC105185947,3.910968,6.35534384,1.53E-20,1.04E-18,transcription factor SOX-9 isoform X1
LOC105187559,-4.1532021,6.9606837,1.57E-20,1.06E-18,pancreatic triacylglycerol lipase isoform X2
LOC105183754,4.22658788,6.25326387,1.59E-20,1.07E-18,coagulation factor X isoform X2
LOC105192079,-7.0043219,2.58444873,1.90E-20,1.27E-18,zinc finger protein 567
LOC105185675,5.22079653,6.05433448,2.60E-20,1.73E-18,optomotor-blind protein isoform X5
LOC105188791,2.98909757,5.35351201,3.29E-20,2.18E-18,discoidin domain-containing receptor 2 isoform X1
LOC105183404,-3.5826661,4.50691639,3.44E-20,2.27E-18,lysocardiolipin acyltransferase 1
LOC105191277,-3.7348169,4.79235864,3.93E-20,2.58E-18,mitochondrial amidoxime-reducing component 1-like isoform X1
LOC105182045,2.80207868,4.87164729,4.10E-20,2.68E-18,DNA fragmentation factor subunit beta isoform X3
LOC105181812,4.890891,5.5626463,4.23E-20,2.74E-18,muscle-specific protein 20
LOC105190727,-5.3118507,5.24292044,4.48E-20,2.89E-18,selenocysteine methyltransferase
LOC105182063,2.83591615,5.72091101,4.65E-20,2.99E-18,collagen alpha chain CG42342 isoform X12
LOC105188887,3.9560139,5.34416268,7.14E-20,4.56E-18,uncharacterized protein LOC105188887 isoform X1
LOC105190889,4.58367194,10.2684743,8.97E-20,5.70E-18,uncharacterized protein LOC105190889
LOC105188129,-4.0146722,3.99625673,9.49E-20,6.01E-18,uncharacterized protein LOC105188129
LOC105182548,-5.6738661,3.39994653,9.66E-20,6.08E-18,glutamyl aminopeptidase isoform X1
LOC105189219,-2.208884,8.3567003,9.98E-20,6.25E-18,NK-tumor recognition protein isoform X2
LOC105188858,-5.0936008,5.42925472,1.05E-19,6.52E-18,zinc finger Y-chromosomal protein
LOC105188836,-5.3344301,4.31210421,1.10E-19,6.84E-18,aminopeptidase N-like
LOC105181245,4.97324359,6.08881383,1.18E-19,7.31E-18,troponin T isoform X1
LOC105192051,5.04605915,6.98586093,1.44E-19,8.86E-18,myosin regulatory light chain 2
LOC105184287,-6.3970609,2.8882676,1.60E-19,9.77E-18,uncharacterized protein LOC105184287
LOC105185782,4.03255059,3.70143278,1.81E-19,1.10E-17,toll-like receptor Tollo
LOC105184720,2.55785029,5.21408419,1.92E-19,1.16E-17,putative polypeptide N-acetylgalactosaminyltransferase 9 isoform X1
LOC105185574,3.4485669,5.28571344,2.32E-19,1.40E-17,toll-like receptor 6
LOC112590713,-4.8433306,3.33157222,2.93E-19,1.76E-17,uncharacterized protein LOC112590713
LOC105189200,2.93310384,5.57713498,3.07E-19,1.83E-17,"dynein heavy chain 2, axonemal"
LOC105186946,-3.1953612,5.77210335,3.46E-19,2.06E-17,uncharacterized protein LOC105186946
LOC105191626,-5.8713401,3.34708617,3.66E-19,2.16E-17,uncharacterized protein LOC105191626
LOC112588210,5.82044467,4.43396122,4.09E-19,2.40E-17,putative uncharacterized protein DDB_G0271606
LOC105188841,4.26187852,5.3257215,5.52E-19,3.23E-17,homeotic protein antennapedia
LOC105183295,4.60040321,9.16191915,5.94E-19,3.46E-17,trichohyalin isoform X1
LOC105184603,2.47953626,7.52747276,6.14E-19,3.56E-17,uncharacterized protein LOC105184603
LOC105191290,4.8976079,7.06773158,6.42E-19,3.71E-17,uncharacterized protein LOC105191290
LOC105189468,-3.6975886,5.63292785,6.92E-19,3.98E-17,cGMP-dependent protein kinase 1 isoform X2
LOC105191783,4.65121056,2.95533267,7.03E-19,4.02E-17,acetylcholine receptor subunit alpha-like 1
LOC105187757,2.22449326,9.17960288,7.05E-19,4.02E-17,trinucleotide repeat-containing gene 6C protein isoform X2
LOC105187128,2.63417465,5.07837223,7.53E-19,4.27E-17,uncharacterized protein LOC105187128
LOC105188889,4.5680138,3.78271888,7.64E-19,4.31E-17,"POU domain, class 6, transcription factor 2 isoform X1"
LOC105190811,2.37466857,5.51614519,9.51E-19,5.35E-17,tolloid-like protein 2 isoform X2
LOC105188863,-4.9067348,2.92630459,9.83E-19,5.51E-17,zinc finger protein 624
LOC105192688,-4.5771289,8.20147259,1.21E-18,6.77E-17,O-acyltransferase like protein isoform X1
LOC105191917,-3.5268848,3.71056694,1.28E-18,7.09E-17,"cytochrome P450 315a1, mitochondrial isoform X2"
LOC105188801,4.3987886,5.56992382,1.32E-18,7.28E-17,tropomyosin-1
LOC105181283,-4.6903975,5.18991809,1.56E-18,8.56E-17,peroxidase isoform X1
LOC105184102,4.30732373,5.92619386,1.84E-18,1.01E-16,muscle LIM protein Mlp84B isoform X3
LOC105186786,-2.3551979,6.91757996,1.89E-18,1.03E-16,uncharacterized protein LOC105186786 isoform X2
LOC105191636,-9.4755298,2.52618911,1.93E-18,1.05E-16,uncharacterized protein LOC105191636 isoform X1
LOC105185182,-5.0082851,3.80592545,1.94E-18,1.05E-16,actin-like protein 6B
LOC105192653,-4.3829408,6.13426317,2.05E-18,1.10E-16,uncharacterized protein LOC105192653
LOC112589431,-5.2827471,2.60591734,2.06E-18,1.10E-16,zinc finger protein 62-like isoform X1
LOC112589570,-5.404167,4.44043392,2.17E-18,1.16E-16,aminopeptidase Ey-like isoform X1
LOC105181146,-4.1509943,6.62678052,2.62E-18,1.39E-16,uncharacterized protein LOC105181146 isoform X1
LOC105180837,4.02747088,4.94330269,2.71E-18,1.43E-16,uncharacterized protein LOC105180837
LOC105182674,3.01751624,7.57920182,2.72E-18,1.43E-16,matrix metalloproteinase-2 isoform X1
LOC112588875,4.78023246,3.33203037,3.38E-18,1.78E-16,myb-like protein AA
LOC105188110,-2.6212033,5.24110812,3.47E-18,1.81E-16,ras-related protein Rab-32B
LOC105183758,4.45070615,4.66988158,3.52E-18,1.83E-16,uncharacterized protein LOC105183758
LOC105187450,3.70914212,6.35143098,4.07E-18,2.11E-16,ATP-binding cassette sub-family A member 5 isoform X3
LOC112590711,-4.6731529,3.93509374,4.14E-18,2.14E-16,uncharacterized protein LOC112590711
LOC105183005,-2.9131228,4.54672296,4.37E-18,2.25E-16,ribonuclease P protein subunit p25-like protein
LOC105191268,3.3868892,6.2235878,4.76E-18,2.44E-16,uncharacterized protein LOC105191268
LOC105186529,4.20411102,4.12620771,5.24E-18,2.68E-16,"alpha-(1,3)-fucosyltransferase C"
LOC105187803,2.68531686,6.76546676,5.44E-18,2.77E-16,semaphorin-1A isoform X1
LOC105186622,4.43101083,5.03969323,5.60E-18,2.84E-16,uncharacterized protein LOC105186622 isoform X4
LOC105183028,2.68983022,5.782877,6.65E-18,3.35E-16,N-acetylglucosamine-6-sulfatase isoform X1
LOC105183179,4.90553348,1.9426896,8.80E-18,4.42E-16,LOW QUALITY PROTEIN: UPF0602 protein C4orf47 homolog
LOC105183100,-4.0382697,3.59338943,1.02E-17,5.10E-16,uncharacterized protein LOC105183100
LOC105189530,-2.0118878,7.94885641,1.04E-17,5.18E-16,facilitated trehalose transporter Tret1 isoform X1
LOC105187825,-4.5339638,3.12188797,1.08E-17,5.34E-16,homeobox protein ceh-19
LOC105185413,4.66692091,6.89029683,1.28E-17,6.35E-16,troponin I isoform X1
LOC105180714,-6.3135456,2.78821392,1.37E-17,6.73E-16,luciferin 4-monooxygenase isoform X1
LOC105184236,4.33040685,4.19030061,1.56E-17,7.66E-16,"steroid receptor seven-up, isoforms B/C isoform X2"
LOC105191566,2.3161819,6.83273307,1.85E-17,8.99E-16,uncharacterized protein LOC105191566 isoform X4
LOC105190442,4.75909671,5.38558542,1.85E-17,8.99E-16,uncharacterized protein LOC105190442
LOC105187133,2.23222435,7.83805279,1.88E-17,9.14E-16,rho guanine nucleotide exchange factor 17
LOC105182747,2.41117297,8.21480803,1.90E-17,9.17E-16,fasciclin-2 isoform X1
LOC105187243,-2.8435062,6.06396868,1.97E-17,9.46E-16,late histone H2B.L4
LOC105190640,2.67876359,5.73701285,2.50E-17,1.20E-15,uncharacterized protein LOC105190640 isoform X1
LOC105189108,-4.4414283,2.92126217,2.52E-17,1.20E-15,cytochrome P450 6k1-like isoform X1
LOC105183376,2.36110076,7.31247124,2.80E-17,1.33E-15,protein sidekick isoform X1
LOC105187742,-3.7445753,4.66868393,3.08E-17,1.46E-15,solute carrier organic anion transporter family member 4C1 isoform X1
LOC105185763,3.55960252,5.80690248,3.28E-17,1.55E-15,uncharacterized protein LOC105185763 isoform X1
LOC105192252,2.79389599,4.07673016,3.42E-17,1.61E-15,atrial natriuretic peptide receptor 1 isoform X1
LOC105182645,4.54320121,5.46874381,3.49E-17,1.64E-15,protein takeout-like isoform X1
LOC105181628,2.38584914,6.45233576,3.78E-17,1.77E-15,transmembrane protein 132B isoform X2
LOC105181966,3.88896178,5.16600747,3.88E-17,1.80E-15,uncharacterized protein LOC105181966
LOC105181089,3.65761748,6.02465188,4.03E-17,1.87E-15,uncharacterized protein LOC105181089 isoform X3
LOC112589552,-6.5890387,2.26480033,4.17E-17,1.92E-15,thyrotropin-releasing hormone-degrading ectoenzyme-like
LOC105186045,2.95121898,5.86172171,4.66E-17,2.15E-15,peroxidasin
LOC105191850,4.6476943,9.39343741,4.70E-17,2.16E-15,"myosin heavy chain, muscle isoform X14"
