genes,logFC,logCPM,PValue,FDR,Annotation
LOC105181754,-6.698283429,5.911154693,3.09E-47,9.08E-45,mitochondrial amidoxime reducing component 2-like
LOC105182116,-6.737886931,5.341657874,5.12E-47,1.47E-44,uncharacterized protein LOC105182116
LOC105190725,-5.13761559,6.934302706,1.07E-45,3.00E-43,uncharacterized protein LOC105190725
LOC105181760,-6.996931064,5.173194825,2.18E-45,5.93E-43,mitochondrial amidoxime reducing component 2
LOC105181078,-7.549103519,4.932402013,2.20E-45,5.93E-43,uncharacterized protein LOC105181078
LOC105181257,-7.657741075,15.08328196,1.06E-44,2.78E-42,uncharacterized protein LOC105181257 isoform X3
LOC105181753,-6.632260044,5.113379571,1.94E-44,5.01E-42,uncharacterized protein LOC105181753
LOC105181602,-7.104942361,7.831802371,4.89E-44,1.24E-41,uncharacterized protein LOC105181602
LOC105180718,-5.554141725,5.474621924,7.50E-44,1.86E-41,zinc finger protein 271
LOC105186562,-6.342228219,5.496669677,9.54E-44,2.32E-41,lipase 3
LOC105186932,-5.379447315,5.314233858,4.85E-43,1.16E-40,endocuticle structural glycoprotein SgAbd-1
LOC105188811,-5.471897025,5.893297312,6.59E-43,1.55E-40,aminopeptidase N-like
LOC105181996,-7.511201163,5.190599216,8.50E-43,1.96E-40,uncharacterized protein LOC105181996
LOC105190429,-8.125674134,8.039633824,1.09E-42,2.46E-40,acyl-CoA Delta(11) desaturase
LOC105189923,-6.893968143,5.491348907,1.84E-42,4.09E-40,thyrotropin-releasing hormone-degrading ectoenzyme-like
LOC105183062,-6.080787993,5.350101841,8.95E-42,1.95E-39,KIF1-binding protein isoform X1
LOC105188516,4.984442183,7.795075106,1.01E-41,2.16E-39,protein lethal(2)essential for life
LOC105186687,-7.332283527,4.994150514,1.78E-41,3.75E-39,uncharacterized protein LOC105186687
LOC105186089,-5.21152278,7.817337484,3.41E-40,7.08E-38,NPC intracellular cholesterol transporter 2 homolog a
LOC105190297,-6.905351031,9.352274895,6.32E-40,1.29E-37,uncharacterized protein LOC105190297
LOC112590035,-5.939618269,5.131741787,2.89E-39,5.80E-37,glutamic acid-rich protein-like
LOC105181758,-6.768147051,5.016177956,3.67E-39,7.26E-37,mitochondrial amidoxime reducing component 2-like
LOC105189004,-4.112643746,6.459625241,2.34E-38,4.55E-36,condensin complex subunit 2
LOC105192652,-6.774886027,4.592503266,3.47E-38,6.65E-36,uncharacterized protein LOC105192652
LOC109504011,-11.53911008,4.388494542,7.88E-38,1.49E-35,uncharacterized protein LOC109504011
LOC105189188,-7.058907323,4.429537227,1.17E-37,2.17E-35,uncharacterized protein LOC105189188
LOC112589570,-8.249900365,4.413203515,1.70E-36,3.13E-34,aminopeptidase Ey-like isoform X1
LOC105181756,-7.609557117,4.742073424,3.40E-36,6.14E-34,mitochondrial amidoxime-reducing component 1
LOC105183285,-3.346633525,7.149542442,5.15E-36,9.18E-34,lambda-crystallin homolog
LOC105185703,-7.003385389,12.0675632,6.49E-36,1.14E-33,cold and drought-regulated protein CORA-like
LOC112588055,-7.161086801,4.521416155,7.13E-36,1.24E-33,uncharacterized protein LOC112588055
LOC105186352,-6.870435355,5.931884239,5.10E-35,8.73E-33,phospholipase A2
LOC105188814,-5.312642051,5.270340253,5.22E-35,8.80E-33,aminopeptidase N-like
LOC105183817,-5.609774549,4.734653781,5.30E-35,8.83E-33,estrogen sulfotransferase
LOC105188093,-3.489341012,6.742096955,6.25E-35,1.03E-32,GATA-binding factor A isoform X1
LOC105189590,-6.621126442,8.580072306,9.11E-35,1.48E-32,uncharacterized protein LOC105189590
LOC105189872,-3.446677377,6.838372144,9.48E-35,1.52E-32,uncharacterized protein LOC105189872 isoform X2
LOC105182110,-7.974418473,4.624623565,1.80E-34,2.85E-32,uncharacterized protein LOC105182110
LOC105186543,-6.230493337,7.493950956,1.93E-34,3.02E-32,uncharacterized protein LOC105186543
LOC105191774,-6.978245044,4.386445307,2.40E-34,3.70E-32,uncharacterized protein LOC105191774
LOC105180711,-6.384693418,4.487502269,3.30E-34,5.02E-32,zinc finger and BTB domain-containing protein 41
LOC105191261,-3.825719553,5.52532398,3.33E-34,5.02E-32,"kynurenine/alpha-aminoadipate aminotransferase, mitochondrial"
LOC105181972,-3.832808463,5.529652841,4.20E-34,6.26E-32,peroxisomal leader peptide-processing protease isoform X2
LOC112588480,-6.646950662,4.275943349,5.45E-34,8.02E-32,uncharacterized protein LOC112588480
LOC105191444,-6.097285547,4.711987339,1.02E-33,1.49E-31,uncharacterized protein LOC105191444
LOC105182549,-6.242619272,4.822844175,2.06E-33,2.96E-31,thyrotropin-releasing hormone-degrading ectoenzyme
LOC105188813,-5.070478328,5.370171056,2.60E-33,3.69E-31,aminopeptidase N-like
LOC105186585,-3.781679079,7.43775346,1.48E-32,2.08E-30,PITH domain-containing protein 1 isoform X1
LOC105185313,-6.282770875,4.463789017,8.40E-32,1.17E-29,uncharacterized protein LOC105185313
LOC105189159,-6.468216968,4.571119852,1.03E-31,1.41E-29,uncharacterized protein LOC105189159
LOC105181757,-5.904050376,4.460378933,1.57E-31,2.14E-29,mitochondrial amidoxime-reducing component 1-like
LOC105190940,-4.750541531,4.980808833,1.63E-31,2.20E-29,putative inorganic phosphate cotransporter isoform X2
LOC105186950,-7.190369814,3.906073972,2.57E-31,3.42E-29,uncharacterized protein LOC105186950 isoform X2
LOC105186933,-5.128637855,4.793645557,4.37E-31,5.76E-29,uncharacterized protein LOC105186933
LOC105185043,-7.108549081,3.802508245,6.44E-31,8.40E-29,uncharacterized protein LOC105185043
LOC112588278,-8.618091715,3.944381141,6.78E-31,8.76E-29,uncharacterized protein LOC112588278
LOC105184616,-7.804806317,3.973883973,7.26E-31,9.28E-29,uncharacterized protein LOC105184616
LOC109504397,-7.005056962,4.15210067,8.95E-31,1.13E-28,uncharacterized protein LOC109504397
LOC105180715,-5.371354827,4.799931588,1.27E-30,1.59E-28,luciferin 4-monooxygenase isoform X1
LOC105188252,-5.976532289,4.082661623,1.78E-30,2.20E-28,LOW QUALITY PROTEIN: adenylate cyclase type 10-like
LOC105187404,-7.501799928,3.696316473,2.07E-30,2.52E-28,uncharacterized protein LOC105187404 isoform X1
LOC105184618,-6.499544788,4.118685177,2.08E-30,2.52E-28,mitochondrial amidoxime-reducing component 1-like
LOC112588276,-8.500781308,3.834447838,2.66E-30,3.21E-28,uncharacterized protein LOC112588276
LOC109504084,-5.448937772,4.839415757,8.26E-30,9.85E-28,thyrotropin-releasing hormone-degrading ectoenzyme-like
LOC105192005,-4.411554925,5.223982249,8.43E-30,9.97E-28,dendritic arbor reduction protein 1
LOC105192688,-4.719930047,8.195422389,1.05E-29,1.23E-27,O-acyltransferase like protein isoform X1
LOC105182002,-7.053638434,4.175807879,1.08E-29,1.25E-27,uncharacterized protein LOC105182002
LOC105182337,-4.680899206,5.745869133,1.21E-29,1.39E-27,venom carboxylesterase-6
LOC105187956,-3.566247148,5.802597627,2.07E-29,2.36E-27,afadin- and alpha-actinin-binding protein
LOC105189914,-6.441412009,5.124428912,9.85E-29,1.11E-26,thyrotropin-releasing hormone-degrading ectoenzyme-like
LOC105184403,-2.961024608,6.519872699,1.03E-28,1.16E-26,GSK3-beta interaction protein
LOC105188835,-5.105855636,5.17914685,2.96E-28,3.28E-26,aminopeptidase N
LOC105181755,-5.691420877,4.176118516,4.06E-28,4.47E-26,uncharacterized protein LOC105181755 isoform X1
LOC105183085,-5.101787168,4.62109905,7.68E-28,8.38E-26,uncharacterized protein LOC105183085 isoform X1
LOC105190216,-6.332297596,4.202002623,7.79E-28,8.42E-26,eukaryotic translation initiation factor 2-alpha kinase 1
LOC105189593,-3.589871102,6.046664368,8.43E-28,9.04E-26,protein artichoke
LOC112589346,-5.875196027,4.406654251,1.06E-27,1.13E-25,uncharacterized protein LOC112589346 isoform X1
LOC105185056,-10.73411773,3.62979756,1.25E-27,1.32E-25,uncharacterized protein LOC105185056
LOC105188971,-6.492709789,4.018066912,1.48E-27,1.55E-25,uncharacterized protein LOC105188971
LOC105189338,-4.043118325,7.478496677,1.62E-27,1.68E-25,uncharacterized protein LOC105189338
LOC112589355,-4.258750118,4.711444485,3.57E-27,3.68E-25,4-coumarate--CoA ligase 2-like
LOC105190301,-6.290729442,4.136447949,3.91E-27,3.99E-25,elongation of very long chain fatty acids protein AAEL008004 isoform X1
LOC112589965,-6.384611734,3.575004796,8.24E-27,8.34E-25,zinc finger protein Xfin-like
LOC105185688,-8.065143066,3.41377155,9.57E-27,9.61E-25,uncharacterized protein LOC105185688 isoform X1
LOC105188857,-8.013635579,3.429836515,1.11E-26,1.11E-24,zinc finger Y-chromosomal protein 2
LOC105181914,-3.545220301,5.704051749,1.85E-26,1.83E-24,ankyrin repeat and KH domain-containing protein 1
LOC105182693,3.460446308,4.950407538,2.01E-26,1.97E-24,sodium- and chloride-dependent GABA transporter ine isoform X1
LOC105182106,-5.411059292,4.599791508,2.74E-26,2.66E-24,glutamyl aminopeptidase-like
LOC105185069,-7.229707055,3.974307172,5.89E-26,5.69E-24,uncharacterized protein LOC105185069
LOC105183473,-3.78062192,5.579720322,1.06E-25,1.02E-23,purine nucleoside phosphorylase isoform X3
LOC105185070,-6.966673379,3.729089927,1.38E-25,1.32E-23,uncharacterized protein LOC105185070
LOC105186527,5.509968719,7.062960933,2.16E-25,2.04E-23,UDP-glucuronosyltransferase 1-8
LOC105191142,-4.132753981,4.557847961,2.28E-25,2.14E-23,protein cortex
LOC112590275,-5.389940223,4.041280103,3.14E-25,2.92E-23,uncharacterized protein LOC112590275 isoform X1
LOC105186084,-4.575179084,6.854300472,5.40E-25,4.99E-23,glucose dehydrogenase
LOC105185068,-6.699348093,3.489112652,5.94E-25,5.45E-23,uncharacterized protein LOC105185068
LOC105190453,-5.19767941,4.589815829,6.10E-25,5.55E-23,putative fatty acyl-CoA reductase CG5065
LOC105182099,-6.360862144,4.434498573,6.85E-25,6.19E-23,uncharacterized protein LOC105182099
LOC105180716,-3.896486735,7.318821905,8.72E-25,7.83E-23,uncharacterized protein LOC105180716
LOC105186946,-3.751657335,5.736756654,1.34E-24,1.19E-22,uncharacterized protein LOC105186946
LOC105186969,-3.915378721,7.314674869,1.36E-24,1.20E-22,insulin-like growth factor I isoform X1
LOC105180850,-4.664972636,3.948310567,1.59E-24,1.40E-22,head-specific guanylate cyclase
LOC105188129,-4.741768424,3.948873827,2.39E-24,2.09E-22,uncharacterized protein LOC105188129
LOC105182691,-10.3445935,3.262734182,2.74E-24,2.38E-22,aquaporin-11-like
LOC105180955,3.166381891,6.116000977,3.38E-24,2.91E-22,uncharacterized protein LOC105180955 isoform X1
LOC112589566,-6.004260808,3.146454714,4.24E-24,3.63E-22,glutamyl aminopeptidase-like
LOC105188655,-5.628408882,4.089071333,4.29E-24,3.64E-22,L-asparaginase
LOC105184639,-3.995810871,6.553756655,4.35E-24,3.67E-22,PR domain zinc finger protein 13
LOC105188862,-4.654278343,4.337873592,4.95E-24,4.15E-22,zinc finger Y-chromosomal protein 1
LOC105186007,-4.956588261,6.180162495,6.00E-24,5.00E-22,uncharacterized protein LOC105186007
LOC105189430,-2.893194347,8.370860859,6.20E-24,5.12E-22,ubiquitin-like-conjugating enzyme ATG3
LOC105188881,-3.01942349,6.104406284,1.15E-23,9.45E-22,protein deadpan
LOC105189830,-5.938095321,3.455228206,2.63E-23,2.15E-21,uncharacterized protein LOC105189830 isoform X1
LOC105187243,-3.174003614,6.025539107,3.20E-23,2.60E-21,late histone H2B.L4
LOC105185813,-3.083895548,5.789094801,4.65E-23,3.74E-21,cuticle protein 67
LOC112590711,-5.855038513,3.89729125,5.04E-23,4.04E-21,uncharacterized protein LOC112590711
LOC105183044,-2.749110862,6.098776614,1.12E-22,8.93E-21,fibrillin-1 isoform X4
LOC105191643,-4.700397303,3.694235237,1.24E-22,9.77E-21,uncharacterized protein LOC105191643
LOC105185771,-5.644340372,3.410518373,1.33E-22,1.04E-20,ejaculatory bulb-specific protein 3
LOC112590712,-5.120964558,3.978670883,2.05E-22,1.60E-20,uncharacterized protein LOC112590712
LOC105187087,-6.310109287,3.10520728,2.64E-22,2.05E-20,glutamyl aminopeptidase isoform X1
LOC105189260,-6.32915666,3.421313159,3.56E-22,2.75E-20,thyrotropin-releasing hormone-degrading ectoenzyme-like
LOC112588892,-5.616870979,3.343563062,4.44E-22,3.39E-20,zinc finger protein 624-like
LOC105182113,-6.588239131,3.372096931,4.45E-22,3.39E-20,uncharacterized protein LOC105182113
LOC105186979,-5.000768179,3.688878337,7.40E-22,5.60E-20,ras-related and estrogen-regulated growth inhibitor isoform X2
LOC105189107,-5.321280198,5.319663612,7.66E-22,5.77E-20,cytochrome P450 6k1
LOC112590465,-4.981585083,3.54966089,1.70E-21,1.28E-19,glutamyl aminopeptidase-like isoform X2
LOC105180926,-4.141960658,4.612168191,1.84E-21,1.37E-19,alpha-glucosidase isoform X2
LOC105184337,3.852448402,9.321981469,2.62E-21,1.94E-19,titin isoform X2
LOC105183404,-4.085823215,4.476824435,3.16E-21,2.33E-19,lysocardiolipin acyltransferase 1
LOC105185398,-3.137777614,6.001224019,5.22E-21,3.82E-19,facilitated trehalose transporter Tret1 isoform X1
LOC112589664,3.794528849,5.706553724,5.89E-21,4.28E-19,Krueppel homolog 1-like
LOC105191149,-3.197866066,5.576882,7.59E-21,5.49E-19,ejaculatory bulb-specific protein 3
LOC105189925,-5.388079954,3.43456914,9.89E-21,7.11E-19,aminopeptidase M1-A
LOC105180713,-5.998134833,2.827945785,1.13E-20,8.09E-19,zinc finger protein 2-like
LOC105184287,-6.601656998,2.862743056,1.22E-20,8.70E-19,uncharacterized protein LOC105184287
LOC105188836,-4.482742655,4.320207178,2.01E-20,1.42E-18,aminopeptidase N-like
LOC105181432,3.180767709,7.525229644,2.08E-20,1.46E-18,serine/arginine repetitive matrix protein 2
LOC105187621,4.15085893,4.775232905,2.26E-20,1.58E-18,brefeldin A-inhibited guanine nucleotide-exchange protein 3 isoform X5
LOC105192079,-9.564742252,2.556644071,2.59E-20,1.80E-18,zinc finger protein 567
LOC105183005,-3.372823628,4.497324332,3.09E-20,2.14E-18,ribonuclease P protein subunit p25-like protein
LOC112588782,-4.156443627,4.323044567,4.93E-20,3.39E-18,thyrotropin-releasing hormone-degrading ectoenzyme-like
LOC105186390,-3.403339551,10.14379306,6.19E-20,4.24E-18,uncharacterized protein LOC105186390
LOC105181831,2.320966448,7.159525461,6.53E-20,4.44E-18,headcase protein
LOC105183072,-4.8346643,3.54527837,7.45E-20,5.04E-18,aminopeptidase M1-A-like
LOC105188863,-6.057942262,2.895707125,9.15E-20,6.16E-18,zinc finger protein 624
LOC105188665,-4.330187026,3.714495785,1.01E-19,6.75E-18,uncharacterized protein LOC105188665
LOC112590710,-4.421898467,4.410471864,1.48E-19,9.85E-18,uncharacterized protein LOC112590710
LOC105188079,4.002978628,6.640357201,2.16E-19,1.43E-17,superoxide dismutase
LOC105191277,-3.951702741,4.768937106,3.16E-19,2.08E-17,mitochondrial amidoxime-reducing component 1-like isoform X1
LOC105186240,-3.928448088,5.85657301,3.62E-19,2.37E-17,ankyrin repeat and death domain-containing protein 1A isoform X1
LOC112589700,-9.323559953,2.34926214,3.72E-19,2.42E-17,uncharacterized protein LOC112589700
LOC105181353,-2.326201523,7.178550664,4.01E-19,2.61E-17,leucine-rich repeats and immunoglobulin-like domains protein 1
LOC112588203,-5.446885784,3.229996885,5.32E-19,3.43E-17,uncharacterized protein LOC112588203
LOC105182403,-3.655627987,4.564353143,5.81E-19,3.73E-17,probable RNA methyltransferase CG11342 isoform X1
LOC105181597,-3.626130654,6.863358892,5.84E-19,3.73E-17,4-coumarate--CoA ligase 1
LOC105191334,-3.862690394,6.892543027,7.32E-19,4.66E-17,bifunctional 3\\'-phosphoadenosine 5\\'-phosphosulfate synthase
LOC105185064,-5.507604937,2.940813064,7.65E-19,4.84E-17,uncharacterized protein LOC105185064
LOC105182703,2.276186182,5.986638625,9.51E-19,5.99E-17,"insulin-like growth factor-binding protein complex acid labile subunit, partial"
LOC105183000,2.515831472,7.348882892,1.05E-18,6.58E-17,Down syndrome cell adhesion molecule-like protein Dscam2 isoform X36
LOC105183786,3.473241392,3.973110718,1.06E-18,6.61E-17,uncharacterized protein LOC105183786
LOC105181079,-5.175985907,3.970261197,1.63E-18,1.01E-16,uncharacterized protein LOC105181079 isoform X1
LOC105188887,3.412994109,4.838633307,1.77E-18,1.09E-16,uncharacterized protein LOC105188887 isoform X1
LOC105191415,3.535864935,7.649181468,1.79E-18,1.10E-16,O-acyltransferase like protein
LOC105189769,-3.526269169,4.188372209,1.96E-18,1.20E-16,uncharacterized protein LOC105189769
LOC105191626,-5.121716793,3.341304107,2.04E-18,1.24E-16,uncharacterized protein LOC105191626
LOC112589964,-5.834673165,2.723807496,2.44E-18,1.48E-16,zinc finger protein 62 homolog
LOC105191621,3.147908036,6.238131116,8.15E-18,4.91E-16,frizzled-2
LOC105183054,2.113383996,6.329735204,8.69E-18,5.21E-16,WD repeat-containing protein CG11141
LOC105183275,-2.691683492,6.711268605,9.16E-18,5.47E-16,serine/threonine-protein kinase Aurora-2
LOC105183983,-4.332020992,3.521158096,9.33E-18,5.54E-16,uncharacterized protein LOC105183983
LOC112589967,-9.268938616,2.291112302,1.00E-17,5.92E-16,uncharacterized protein LOC112589967
LOC105185004,3.485413799,4.064729817,1.12E-17,6.56E-16,insulin-like growth factor-binding protein complex acid labile subunit
LOC105188514,4.506774024,4.403163828,1.12E-17,6.56E-16,"high affinity cAMP-specific and IBMX-insensitive 3\\',5\\'-cyclic phosphodiesterase 8A isoform X7"
LOC105188700,-4.135383504,6.170166821,1.14E-17,6.63E-16,cytochrome P450 307a1
LOC105190784,3.874030627,5.278876612,1.15E-17,6.66E-16,thyrotropin-releasing hormone-degrading ectoenzyme
LOC105189468,-2.467913121,5.754013066,1.20E-17,6.91E-16,cGMP-dependent protein kinase 1 isoform X2
LOC105182484,3.396379611,3.736680996,1.48E-17,8.49E-16,uncharacterized protein LOC105182484 isoform X1
LOC105183155,-3.580281261,3.998706512,1.69E-17,9.65E-16,uncharacterized protein LOC105183155 isoform X2
LOC105180900,-3.836182422,3.533983349,2.10E-17,1.20E-15,putative aminopeptidase-2
LOC105191379,3.334213335,5.406972968,2.25E-17,1.28E-15,neprilysin-4
LOC105186786,-2.657440139,6.871691148,2.37E-17,1.34E-15,uncharacterized protein LOC105186786 isoform X2
LOC105191565,3.249522045,6.493325335,2.46E-17,1.39E-15,"paramyosin, long form"
LOC109504613,-5.947942204,2.302755819,2.59E-17,1.45E-15,ATP-binding cassette sub-family A member 3-like
LOC105191081,3.319532984,5.822049857,2.70E-17,1.51E-15,uncharacterized protein LOC105191081
LOC105188712,-4.51025925,5.948037288,2.94E-17,1.63E-15,"kynurenine/alpha-aminoadipate aminotransferase, mitochondrial"
LOC112589963,-5.564468587,2.847257759,3.08E-17,1.70E-15,zinc finger protein Xfin-like
LOC105188834,-3.134325505,5.056544348,3.68E-17,2.02E-15,aminopeptidase N-like
LOC105183230,2.691838037,4.55979664,3.68E-17,2.02E-15,"nitric oxide synthase, salivary gland isoform X1"
LOC105182105,-5.413957549,2.907982977,5.79E-17,3.16E-15,glutamyl aminopeptidase
LOC105187587,-3.46275559,6.669425283,6.04E-17,3.28E-15,uncharacterized protein LOC105187587
LOC105186683,-8.968199012,2.034454573,6.30E-17,3.41E-15,zinc finger protein 260
LOC105190880,3.64362725,4.078029829,6.51E-17,3.51E-15,"protein still life, isoform SIF type 1 isoform X1"
LOC105180851,-2.276506189,6.034972002,7.30E-17,3.91E-15,elongator complex protein 4 isoform X2
LOC105187964,2.281571344,6.597972657,8.38E-17,4.47E-15,uncharacterized protein LOC105187964
LOC105182060,-3.083533902,6.320197511,9.38E-17,4.99E-15,urea transporter 2 isoform X2
LOC105192018,3.426478376,5.425959825,1.59E-16,8.44E-15,LOW QUALITY PROTEIN: protein tiptop
LOC105186239,3.973578529,4.967597139,1.76E-16,9.25E-15,uncharacterized protein LOC105186239
LOC105184482,3.66715799,4.220660168,1.93E-16,1.01E-14,GTPase-activating Rap/Ran-GAP domain-like protein 3 isoform X2
LOC105180852,-4.11706721,7.506804179,2.25E-16,1.17E-14,tetraspanin-17
LOC105188110,-3.043409649,5.190892121,2.35E-16,1.23E-14,ras-related protein Rab-32B
LOC105189922,-5.547345593,3.797244661,2.39E-16,1.24E-14,aminopeptidase M1-C-like isoform X2
LOC105182991,-5.664942418,3.110209437,2.42E-16,1.24E-14,nose resistant to fluoxetine protein 6-like
LOC105191698,-2.014602423,6.331211994,2.42E-16,1.24E-14,facilitated trehalose transporter Tret1 isoform X3
LOC105185552,2.657370342,5.390589665,2.80E-16,1.43E-14,uncharacterized protein LOC105185552
LOC105187813,2.159543189,6.253715667,3.08E-16,1.57E-14,"F-actin-monooxygenase Mical-like, partial"
LOC105187742,-3.855125684,4.655015475,3.11E-16,1.58E-14,solute carrier organic anion transporter family member 4C1 isoform X1
LOC105189099,3.283979239,4.902139495,3.60E-16,1.82E-14,ATP-binding cassette sub-family G member 5 isoform X1
LOC105180933,-2.326271465,6.060406425,3.62E-16,1.83E-14,uncharacterized protein LOC105180933
LOC105190428,-3.801230094,3.805220464,3.72E-16,1.87E-14,uncharacterized protein LOC105190428
LOC112589552,-5.366771973,2.246605518,3.91E-16,1.95E-14,thyrotropin-releasing hormone-degrading ectoenzyme-like
LOC105189108,-4.634208433,2.905544908,4.11E-16,2.05E-14,cytochrome P450 6k1-like isoform X1
LOC105189031,-3.268571392,6.103510319,4.18E-16,2.08E-14,venom acid phosphatase Acph-1
LOC105188888,4.164918635,3.410288528,4.31E-16,2.13E-14,homeobox protein abdominal-A homolog isoform X2
LOC105191636,-6.199091748,2.513040294,4.53E-16,2.22E-14,uncharacterized protein LOC105191636 isoform X1
LOC105180495,-3.71038424,3.414763014,4.53E-16,2.22E-14,tubulin monoglycylase TTLL3
LOC105181252,-8.688009191,9.094156732,5.18E-16,2.53E-14,uncharacterized protein LOC105181252
LOC105192396,-5.173605865,6.453033582,5.45E-16,2.65E-14,uncharacterized protein LOC105192396
LOC105186319,3.241587379,3.857581386,5.55E-16,2.69E-14,organic cation transporter 1
LOC105183100,-4.532025888,3.568407552,5.89E-16,2.85E-14,uncharacterized protein LOC105183100
LOC105188864,-5.931817656,2.319043644,6.02E-16,2.90E-14,zinc finger protein 880
LOC105184311,2.622634419,5.248279697,6.13E-16,2.94E-14,tyrosine-protein kinase transmembrane receptor Ror
LOC105183945,-2.425867496,5.513853336,6.57E-16,3.14E-14,PI-PLC X domain-containing protein 1
LOC105180853,-4.796386305,2.608945976,8.34E-16,3.97E-14,uncharacterized protein LOC105180853 isoform X1
LOC105189268,5.455601208,5.18602348,9.24E-16,4.38E-14,uncharacterized protein LOC105189268
LOC105186684,-2.473207236,5.983963558,9.64E-16,4.55E-14,guanylate cyclase 32E
LOC105185702,-4.60597568,3.93742762,1.00E-15,4.68E-14,4-coumarate--CoA ligase 1
LOC105187825,-3.72422424,3.130003604,1.00E-15,4.68E-14,homeobox protein ceh-19
LOC112589969,-4.947578105,2.544902146,1.16E-15,5.41E-14,zinc finger protein 569-like
LOC112589539,-5.989488563,2.301809154,1.25E-15,5.82E-14,glutamyl aminopeptidase-like
LOC112589431,-5.664413418,2.590253506,1.26E-15,5.86E-14,zinc finger protein 62-like isoform X1
