genes,logFC,logCPM,PValue,FDR,Annotation
LOC105189935,-1.097960968,5.201013206,0.00010454,0.009655857,DNA-directed RNA polymerase I subunit RPA2
LOC105192108,0.633839389,7.38025141,0.000105372,0.009662109,slo-interacting protein 1 isoform X3
LOC105186885,0.871111498,6.396950883,0.000108398,0.009812506,"ATP synthase lipid-binding protein, mitochondrial"
LOC105186979,1.17898682,4.963061715,0.000108563,0.009812506,ras-related and estrogen-regulated growth inhibitor isoform X2
LOC105191671,2.524771752,1.895416908,0.000115086,0.010328352,BCL-6 corepressor-like protein 1
LOC105183533,1.663321913,2.935505364,0.000118901,0.010595575,glucose dehydrogenase
LOC105191890,0.651361231,8.213546073,0.000129884,0.011493362,latrophilin Cirl-like isoform X2
LOC105185159,-3.989775215,0.820196519,0.000134887,0.011853219,arylphorin subunit alpha isoform X1
LOC109504008,0.964357727,5.94917452,0.000136805,0.01190518,lymphocyte antigen 6C2
LOC105184819,0.783491026,5.925109388,0.00013736,0.01190518,RNA-binding protein Musashi homolog 2 isoform X2
LOC105180829,-0.750838348,6.100013233,0.000140599,0.012053,protein lethal(2)essential for life
LOC105187383,2.104017226,2.415705655,0.000140971,0.012053,zinc finger protein 664-like isoform X1
LOC105183022,2.175700983,2.300821543,0.000142847,0.012131422,uncharacterized protein LOC105183022 isoform X1
LOC105185488,-0.530326308,8.155873411,0.000144355,0.012177816,acidic leucine-rich nuclear phosphoprotein 32 family member A isoform X1
LOC112589091,1.080529234,6.808118603,0.000145888,0.012225616,uncharacterized protein LOC112589091
LOC105185235,0.656762676,9.356670541,0.000151691,0.012628283,neuronal acetylcholine receptor subunit alpha-4
LOC105190173,1.147705425,4.766542357,0.000159236,0.013169773,ionotropic receptor 25a
LOC109504131,-1.746231813,4.531572645,0.000161939,0.013306373,uncharacterized protein LOC109504131
LOC105192388,-0.720094221,8.186218368,0.000163662,0.013361181,DNA repair protein RAD50
LOC105183261,-0.797206988,7.277736166,0.000168208,0.01362478,"myosin heavy chain, skeletal muscle isoform X2"
LOC105188881,1.677427007,2.923842339,0.00017046,0.01362478,protein deadpan
LOC105190171,0.98335015,6.341473354,0.00017109,0.01362478,tyramine receptor 1
LOC105190920,0.710537439,6.421900357,0.000171198,0.01362478,fatty-acid amide hydrolase 2
LOC105185027,0.710366804,7.640705247,0.000176485,0.013957737,protein neuralized isoform X4
LOC105181432,0.68855874,8.838857832,0.000182134,0.01431508,serine/arginine repetitive matrix protein 2
LOC112590721,2.649316025,3.220038497,0.000188059,0.014689488,uncharacterized protein LOC112590721
LOC105186855,-1.95290777,2.041077691,0.000191496,0.014866165,"2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial isoform X1"
LOC112589842,1.609823553,3.314723497,0.000202679,0.015619903,uncharacterized protein LOC112589842
LOC105181355,1.104999411,5.131566617,0.000203673,0.015619903,protein rolling stone isoform X2
LOC105187407,1.844870356,3.922814378,0.000207917,0.015840961,uncharacterized protein LOC105187407
LOC105186828,1.507958728,2.97093518,0.00020906,0.015840961,histone-lysine N-methyltransferase SETMAR-like
LOC105185329,-0.601500232,8.462769316,0.000210955,0.01588945,bifunctional purine biosynthesis protein PURH
LOC105189111,-2.596653537,6.086192205,0.000219123,0.016346461,uncharacterized protein LOC105189111
LOC105190005,0.770673736,6.123569665,0.000219606,0.016346461,cytochrome P450 9e2
LOC105187449,1.489549758,3.688524888,0.00022655,0.016764681,tubulin polyglutamylase complex subunit 2
LOC105184394,-1.070227435,6.488018657,0.000239169,0.01759558,multifunctional protein ADE2
LOC105181723,0.706639602,8.233874848,0.000241561,0.017668857,zinc finger SWIM domain-containing protein 8
LOC105192452,2.471812442,1.855025214,0.000260388,0.01883081,uncharacterized protein LOC105192452
LOC105186966,-5.166066011,0.676152773,0.000260423,0.01883081,nose resistant to fluoxetine protein 6-like isoform X1
LOC105188369,0.94446171,5.491581363,0.000269361,0.019366464,protein jim lovell
LOC105181497,-1.595586181,5.831912435,0.000271983,0.019444452,scavenger receptor class B member 1
LOC105186956,0.797067419,7.645996675,0.000275309,0.019497539,homeodomain-interacting protein kinase 2 isoform X1
LOC105185997,2.207091751,4.147501198,0.000275807,0.019497539,uncharacterized protein LOC105185997
LOC109503962,-0.832286229,6.305337765,0.00028126,0.019762218,protein ALP1-like
LOC105181725,1.171237604,4.717978899,0.000283308,0.019762218,alanine--glyoxylate aminotransferase 2-like
LOC105182871,-0.556399013,9.340667636,0.000284236,0.019762218,40S ribosomal protein S3
LOC105189081,0.655857291,6.582519991,0.000290238,0.02005794,GTP-binding protein Di-Ras2
LOC105188936,-1.012323886,4.490596352,0.00029166,0.02005794,nucleolar protein 12
LOC105187009,1.11973591,6.199732453,0.000300514,0.020555178,zinc finger protein 768-like isoform X2
LOC105186195,0.531094366,7.731714259,0.000306766,0.020826153,heterogeneous nuclear ribonucleoprotein 27C isoform X5
LOC105191670,0.75964461,6.108175457,0.00030796,0.020826153,storkhead-box protein 2 isoform X1
LOC105192700,0.749499258,7.181145555,0.000310171,0.020826153,monocarboxylate transporter 2 isoform X1
LOC105182890,-1.049513637,3.985518245,0.000311059,0.020826153,uncharacterized protein LOC105182890 isoform X1
LOC105182165,1.900924734,2.436922393,0.00031482,0.020967039,uncharacterized protein LOC105182165
LOC105191192,-0.495920999,8.137361246,0.000319313,0.021154887,KAT8 regulatory NSL complex subunit 1
LOC105183118,6.939465693,1.681688158,0.000322363,0.021245723,protein ANTAGONIST OF LIKE HETEROCHROMATIN PROTEIN 1
LOC105185269,3.230489588,2.320230598,0.000330322,0.021657471,uncharacterized protein LOC105185269
LOC105180605,1.326110554,3.172890409,0.000333427,0.021748398,leptin receptor overlapping transcript-like 1 isoform X1
LOC105182628,0.781432122,5.854512471,0.000343734,0.022305724,arylsulfatase B
LOC105184526,0.703754816,5.69827666,0.000368488,0.023710178,CD109 antigen
LOC105185220,0.671125516,8.515372938,0.000371213,0.023710178,hemicentin-1 isoform X2
LOC105185295,1.324191357,3.574562364,0.000373822,0.023710178,solute carrier family 22 member 21
LOC105190346,0.85452449,6.642684814,0.000373993,0.023710178,neurogenic locus Notch protein isoform X2
LOC105191650,1.196218324,4.442478509,0.00037557,0.023710178,proline-rich protein 4-like isoform X1
LOC105189105,0.559562921,7.689758821,0.00037838,0.023710178,uncharacterized protein LOC105189105 isoform X1
LOC105183037,0.667088075,9.256290332,0.000378493,0.023710178,uncharacterized protein LOC105183037 isoform X9
LOC105183016,0.651469426,8.076325157,0.000385752,0.023907718,rho GTPase-activating protein 100F isoform X5
LOC105188505,0.629617126,6.984219952,0.000386499,0.023907718,trace amine-associated receptor 4
LOC105192367,0.542031862,9.560430206,0.000387315,0.023907718,diacylglycerol kinase eta isoform X1
LOC105190877,-0.539082217,6.923489753,0.000399263,0.024408354,tyrosine-protein kinase hopscotch
LOC105184885,-3.317150471,1.204958171,0.000399283,0.024408354,uncharacterized protein LOC105184885
LOC105187305,3.381670307,1.681005728,0.000405715,0.024682299,odorant receptor 46a isoform X3
LOC105187562,0.495161403,8.621915046,0.000427905,0.025878468,uncharacterized protein LOC105187562 isoform X1
LOC105182947,0.585830623,6.95124452,0.000429467,0.025878468,uncharacterized protein LOC105182947 isoform X1
LOC105187173,-0.66365284,6.677819263,0.000435652,0.02612672,E3 UFM1-protein ligase 1 homolog
LOC105184009,0.592040227,7.316233608,0.00043809,0.026149028,disintegrin and metalloproteinase domain-containing protein 10 isoform X1
LOC105190511,-0.928136138,5.550627315,0.000443592,0.026353094,plancitoxin-1 isoform X1
LOC112588267,-2.537150087,2.617547969,0.000457811,0.026964646,uncharacterized protein LOC112588267 isoform X1
LOC105187962,-0.516591443,7.696363728,0.000458148,0.026964646,43 kDa receptor-associated protein of the synapse homolog isoform X2
LOC105183588,1.407261842,3.056108041,0.000467369,0.027380061,uncharacterized protein LOC105183588 isoform X1
LOC105191889,0.865912268,7.174174138,0.000470556,0.027439707,uncharacterized protein LOC105191889 isoform X1
LOC105182761,0.683549648,6.436059903,0.000480043,0.027838191,BTB/POZ domain-containing protein KCTD16
LOC105183527,3.213135687,2.565047354,0.00048396,0.027838191,glucose dehydrogenase
LOC105182063,0.681873808,8.073264712,0.000484055,0.027838191,collagen alpha chain CG42342 isoform X12
LOC112589525,2.6076932,2.222508184,0.000486189,0.027838191,glucose dehydrogenase
LOC109503734,0.509120388,7.826099856,0.000524291,0.029884597,uncharacterized protein LOC109503734
LOC105188035,0.641638315,6.850101447,0.000531544,0.030162151,neuronal acetylcholine receptor subunit alpha-7
LOC105189231,1.302271131,4.019276006,0.000537906,0.030386893,pancreatic lipase-related protein 2
LOC105182648,-0.959794202,6.252564964,0.000544051,0.030597404,uncharacterized protein LOC105182648
LOC105185602,0.805628015,6.469431517,0.000548404,0.030705785,sodium/calcium exchanger 2
LOC105189575,-0.543109142,7.926711787,0.000551396,0.030737306,adenosine kinase 2
LOC105188665,2.567364312,2.183702605,0.000557381,0.030911648,uncharacterized protein LOC105188665
LOC105188803,0.576867233,6.540333699,0.000559409,0.030911648,potassium voltage-gated channel subfamily H member 8 isoform X2
LOC105189136,-0.445367635,10.4259178,0.000564162,0.030995951,elongation factor 1-alpha
LOC105181257,-3.679463675,0.669228721,0.000565834,0.030995951,uncharacterized protein LOC105181257 isoform X3
LOC105188790,0.964371578,5.548376602,0.000581472,0.031715294,discoidin domain-containing receptor 2
LOC105186564,0.804557749,5.640960486,0.000587718,0.031918372,orcokinin peptides
LOC105182829,0.59077377,8.486537406,0.00059708,0.032245984,uncharacterized protein LOC105182829 isoform X1
LOC105186811,-0.542054679,6.89703753,0.00060156,0.032245984,60S ribosomal protein L8
LOC105183056,-2.877012546,0.895239649,0.00060243,0.032245984,mediator of RNA polymerase II transcription subunit 15a
LOC105185657,0.924195804,5.414965327,0.000603943,0.032245984,protein eva-1 homolog C isoform X2
LOC105181280,0.49814751,8.339006892,0.000608654,0.032261363,calexcitin-2
LOC105192060,0.542097306,7.217868111,0.00060933,0.032261363,1-phosphatidylinositol 3-phosphate 5-kinase
LOC105187571,2.740071761,1.911909718,0.000613501,0.032346816,cytochrome P450 9e2 isoform X2
LOC112590227,1.987161634,2.291294549,0.000638122,0.03350536,uncharacterized protein LOC112590227
LOC105188743,0.500996008,7.676973104,0.000644618,0.0337066,V-type proton ATPase 16 kDa proteolipid subunit
LOC105186376,1.058086454,4.27570205,0.000673602,0.035077213,protein yellow
LOC105183229,0.833897986,4.978684323,0.000684707,0.03550936,guanine nucleotide-binding protein subunit gamma-e
LOC105181095,1.39540738,3.275555226,0.000690875,0.035527949,uncharacterized protein LOC105181095
LOC105184631,2.425006553,2.247916994,0.000693949,0.035527949,maltase 2
LOC105181342,-1.345725486,3.788941943,0.000695336,0.035527949,putative nuclease HARBI1
LOC105189308,0.767187727,6.32662621,0.000696296,0.035527949,chitin synthase chs-2 isoform X1
LOC105180903,-4.847562525,1.275410098,0.000701742,0.035662042,aminopeptidase N
LOC105191656,-0.63980873,6.324563462,0.000707185,0.0357488,heat shock 70 kDa protein cognate 4
LOC105188848,0.635493758,5.638642458,0.0007091,0.0357488,DENN domain-containing protein 5B-like
LOC105184533,3.336883312,4.863457282,0.000718787,0.036093392,juvenile hormone acid O-methyltransferase isoform X2
LOC105183434,0.4950469,7.442985945,0.000737821,0.03690273,synaptotagmin-14
LOC112589993,-1.071010687,3.599998435,0.000750534,0.037390754,uncharacterized protein LOC112589993
LOC105188104,0.708092267,5.962771819,0.000763214,0.037873352,"ankyrin repeat domain-containing protein 50, partial"
LOC105181718,-2.823583377,4.489690527,0.000767975,0.037913401,uncharacterized protein LOC105181718
LOC105191206,-0.460315726,8.550452239,0.000775794,0.037913401,neprilysin-4 isoform X1
LOC105186301,0.54811861,7.055367871,0.000775859,0.037913401,protein croquemort
LOC105183509,-0.79586257,5.375239746,0.000776005,0.037913401,uncharacterized protein LOC105183509 isoform X2
LOC105186740,1.026384646,4.192012991,0.000789562,0.038079288,uncharacterized protein LOC105186740 isoform X1
LOC112588375,-1.155262909,4.57368884,0.00079002,0.038079288,uncharacterized protein LOC112588375
LOC105188026,1.011558399,5.718801251,0.000793516,0.038079288,"furin-like protease 1, isoforms 1/1-X/2 isoform X2"
LOC105180687,1.1674459,4.296848596,0.000793595,0.038079288,tumor necrosis factor receptor superfamily member wengen isoform X1
LOC105185423,0.787834234,5.907422077,0.000794447,0.038079288,uncharacterized protein LOC105185423 isoform X1
LOC105185695,-3.103528462,1.303614086,0.000802309,0.038100035,putative fatty acyl-CoA reductase CG5065 isoform X1
LOC105189286,0.978116794,4.680195994,0.000804502,0.038100035,transcription factor Sp5
LOC105191289,0.548669166,6.601156826,0.000805909,0.038100035,tyrosine-protein kinase Src64B isoform X1
LOC105190682,0.716681826,6.363433955,0.000806923,0.038100035,uncharacterized protein LOC105190682
LOC105184900,-2.038011154,3.476878267,0.000810151,0.038110234,uncharacterized protein LOC105184900 isoform X2
LOC105186743,0.571140002,7.803638089,0.000816366,0.038260367,uncharacterized protein LOC105186743 isoform X2
LOC105182807,-2.213075583,1.695615455,0.000822234,0.03839317,hexamerin
LOC105185691,0.524365315,9.363531939,0.000877586,0.04051173,sex determination protein fruitless isoform X3
LOC105189470,0.763967315,7.542447127,0.000878103,0.04051173,RNA binding protein fox-1 homolog 2 isoform X8
LOC105182900,0.784297659,8.428041534,0.000882335,0.04051173,cytoplasmic polyadenylation element-binding protein 2
LOC105181044,0.535709014,8.918146111,0.000882507,0.04051173,protein retinal degeneration B isoform X1
LOC105181805,1.370912408,5.07365677,0.000883613,0.04051173,proline-rich nuclear receptor coactivator 2
LOC105187101,1.247626908,7.675381163,0.000905924,0.04138469,modular serine protease isoform X7
LOC105182041,0.763831965,5.077942712,0.000939277,0.042753994,uncharacterized protein LOC105182041
LOC105182834,0.888374918,5.127347461,0.000987224,0.044775399,single Ig IL-1-related receptor
LOC105183745,0.611189639,6.310337934,0.00101351,0.045803413,suppressor of lurcher protein 1
LOC105182704,0.5811562,8.213849092,0.001040007,0.046833623,neuronal acetylcholine receptor subunit alpha-7 isoform X1
LOC112588059,-2.715623278,2.60162721,0.001046844,0.046974343,uncharacterized protein LOC112588059
LOC105186657,0.614812458,5.975182017,0.001079218,0.04825593,neurotrimin
LOC105186541,3.085037333,3.046814006,0.001094578,0.048770377,serine protease 41 isoform X1
LOC105186807,-1.991035803,1.226620432,0.001101355,0.048900151,protein PIH1D3
LOC112589217,-1.293041339,5.821904891,0.001108505,0.04890811,uncharacterized protein LOC112589217
LOC105192061,1.161320971,3.60516164,0.001109264,0.04890811,diuretic hormone 44
